Series,Value,actual,error,Rec
Total,44770.8019553333,44072.7392445,-698.062710833299,mint_shrink
Total,18934.5971275891,19930.7493685,996.152240910902,mint_shrink
Total,21783.2605194035,24987.1480166,3203.8874971965,mint_shrink
Total,26465.3494131535,27592.4123105,1127.0628973465,mint_shrink
Total,20391.6834120483,23848.8111205,3457.1277084517,mint_shrink
Total,20315.7940501276,21460.2699643,1144.4759141724,mint_shrink
Total,25036.6740868642,26037.6773603,1001.0032734358,mint_shrink
Total,22430.1521794971,24002.5467777,1572.3945982029,mint_shrink
Total,23532.7810471751,24902.6609099,1369.8798627249,mint_shrink
Total,26616.8752974447,27184.0620199,567.186722455299,mint_shrink
Total,22387.8584559824,26563.142602,4175.2841460176,mint_shrink
Total,22501.4152625812,24982.0244496,2480.6091870188,mint_shrink
Total,44693.4142519974,45625.4877973,932.073545302599,mint_shrink
Total,19265.4941719949,23227.9283088,3962.4341368051,mint_shrink
Total,21838.0273355707,25156.5488327,3318.5214971293,mint_shrink
Total,26609.0294464756,27581.7213234,972.6918769244,mint_shrink
Total,20502.1244539961,24489.2219019,3987.0974479039,mint_shrink
Total,20680.1628977651,21772.9900453,1092.8271475349,mint_shrink
Total,25272.9158689734,28460.5747546,3187.6588856266,mint_shrink
Total,22689.6183141015,24100.4466318,1410.8283176985,mint_shrink
Total,23865.9801509379,24800.0337588,934.053607862101,mint_shrink
Total,26872.4269184753,30039.1069853,3166.6800668247,mint_shrink
Total,22467.6637337921,27320.9189079,4853.2551741079,mint_shrink
Total,22869.5654224426,24604.3107738,1734.7453513574,mint_shrink
State/A,15308.3821956071,14467.8990387,-840.483156907101,mint_shrink
State/A,6057.86112980303,5907.6756304,-150.18549940303,mint_shrink
State/A,6905.24023193101,7752.3268736,847.08664166899,mint_shrink
State/A,8732.60595919898,8672.2411988,-60.3647603989793,mint_shrink
State/A,6258.81828884695,7460.3620887,1201.54379985305,mint_shrink
State/A,5969.49031976268,6308.4320648,338.94174503732,mint_shrink
State/A,7566.89762539062,6961.1674717,-605.730153690621,mint_shrink
State/A,6417.63355197889,7128.2445223,710.61097032111,mint_shrink
State/A,6892.76270546578,7142.6323588,249.86965333422,mint_shrink
State/A,8439.91839807431,8088.2108262,-351.707571874309,mint_shrink
State/A,6841.12363214874,8871.9806691,2030.85703695126,mint_shrink
State/A,7484.70522140141,7166.1237555,-318.58146590141,mint_shrink
State/A,15378.5001205712,14631.3215475,-747.1785730712,mint_shrink
State/A,6184.48484945677,6602.4158349,417.93098544323,mint_shrink
State/A,6944.88488631239,7909.2801438,964.395257487609,mint_shrink
State/A,8847.01011926975,8873.8920822,26.8819629302507,mint_shrink
State/A,6327.98470744837,7953.4057859,1625.42107845163,mint_shrink
State/A,6119.98584055073,6746.6367023,626.65086174927,mint_shrink
State/A,7701.87536032004,8050.3776211,348.50226077996,mint_shrink
State/A,6551.19124341747,7227.6125815,676.421338082529,mint_shrink
State/A,7032.96512272288,6778.3632259,-254.60189682288,mint_shrink
State/A,8565.90125209001,8592.9982496,27.0969975099888,mint_shrink
State/A,6946.89297906433,8663.2409599,1716.34798083567,mint_shrink
State/A,7631.9085269602,7953.6598992,321.7513722398,mint_shrink
State/B,10468.3161443624,9989.1350513,-479.1810930624,mint_shrink
State/B,4116.76819198362,4686.3654697,569.59727771638,mint_shrink
State/B,4947.88851675189,5659.9524404,712.06392364811,mint_shrink
State/B,5464.1921150172,5483.7004701,19.5083550827994,mint_shrink
State/B,4210.40243320276,4732.8356349,522.433201697239,mint_shrink
State/B,4082.75006927562,3826.3374278,-256.41264147562,mint_shrink
State/B,4559.76666003763,4512.8094673,-46.9571927376301,mint_shrink
State/B,3995.75331420764,4147.0143704,151.26105619236,mint_shrink
State/B,4090.2316247268,4342.7278418,252.4962170732,mint_shrink
State/B,4735.55462753341,5142.3432346,406.78860706659,mint_shrink
State/B,4834.54643512044,5038.0769148,203.53047967956,mint_shrink
State/B,4750.07669903115,5340.1512778,590.074578768849,mint_shrink
State/B,10609.7440109747,11201.0335238,591.2895128253,mint_shrink
State/B,4246.47036067704,4689.6643082,443.19394752296,mint_shrink
State/B,5051.24473085434,5457.5222181,406.27748724566,mint_shrink
State/B,5587.41841675151,5291.015661,-296.40275575151,mint_shrink
State/B,4314.05780780084,4268.2661598,-45.7916480008398,mint_shrink
State/B,4185.41723298044,4103.019168,-82.3980649804398,mint_shrink
State/B,4691.83745318378,4904.5258784,212.68842521622,mint_shrink
State/B,4109.32487346731,4000.4224054,-108.90246806731,mint_shrink
State/B,4209.79750645532,4132.1689651,-77.6285413553205,mint_shrink
State/B,4858.32246695702,5719.2979131,860.97544614298,mint_shrink
State/B,4920.44046306962,5165.4031717,244.96270863038,mint_shrink
State/B,4888.61955771781,5000.4835365,111.86397878219,mint_shrink
State/C,9726.29659841991,8928.5426206,-797.753977819912,mint_shrink
State/C,4347.17960239168,4187.357323,-159.82227939168,mint_shrink
State/C,4567.76308548586,5186.0802165,618.31713101414,mint_shrink
State/C,6022.37253250849,6353.8907684,331.51823589151,mint_shrink
State/C,5077.14602981057,6314.3443679,1237.19833808943,mint_shrink
State/C,5346.20011002879,5692.2344142,346.03430417121,mint_shrink
State/C,7036.66451035972,8196.3784812,1159.71397084028,mint_shrink
State/C,6936.37979728199,6666.9769419,-269.40285538199,mint_shrink
State/C,7348.06444236051,7646.4752582,298.41081583949,mint_shrink
State/C,7302.78805273938,6636.8081183,-665.97993443938,mint_shrink
State/C,5684.88684636725,5937.752456,252.86560963275,mint_shrink
State/C,5394.66880205173,5621.3234981,226.654696048269,mint_shrink
State/C,9687.36813772763,8495.71802,-1191.65011772763,mint_shrink
State/C,4377.68454655481,5777.16748,1399.48293344519,mint_shrink
State/C,4553.08821662043,5094.084892,540.99667537957,mint_shrink
State/C,6040.87731570624,6210.7587273,169.88141159376,mint_shrink
State/C,5084.93640708092,5854.6103928,769.673985719081,mint_shrink
State/C,5414.5560697932,5319.1437064,-95.4123633931995,mint_shrink
State/C,7031.43074635492,7996.6450509,965.214304545079,mint_shrink
State/C,6961.79573100459,7536.9393457,575.143614695409,mint_shrink
State/C,7370.4728778009,7123.1128016,-247.3600762009,mint_shrink
State/C,7310.96787040969,8759.1917809,1448.22391049031,mint_shrink
State/C,5668.77641082834,6804.359328,1135.58291717166,mint_shrink
State/C,5469.64768705162,6049.188583,579.54089594838,mint_shrink
State/D,3124.75880785225,3705.1839694,580.42516154775,mint_shrink
State/D,1295.17578254647,1234.6253699,-60.55041264647,mint_shrink
State/D,1501.5080636636,1873.2928797,371.7848160364,mint_shrink
State/D,1923.58666228588,1688.699857,-234.88680528588,mint_shrink
State/D,1435.56821291945,1503.7733522,68.2051392805502,mint_shrink
State/D,1229.54072465426,1172.2521193,-57.28860535426,mint_shrink
State/D,1521.77811976393,1248.3396235,-273.43849626393,mint_shrink
State/D,1191.16607608915,1299.440434,108.27435791085,mint_shrink
State/D,1330.21707864855,1278.9334028,-51.2836758485498,mint_shrink
State/D,1813.43525800543,2130.8461542,317.41089619457,mint_shrink
State/D,1438.4865151838,1513.4345015,74.9479863161998,mint_shrink
State/D,1510.48426559862,1871.7627925,361.27852690138,mint_shrink
State/D,3091.33214735299,3050.2300279,-41.1021194529899,mint_shrink
State/D,1282.58712290125,1800.6898847,518.10276179875,mint_shrink
State/D,1521.0526828933,1943.7331954,422.6805125067,mint_shrink
State/D,1904.50533219397,1901.6704885,-2.83484369397001,mint_shrink
State/D,1414.68999321811,1881.462572,466.77257878189,mint_shrink
State/D,1256.18249560839,1314.5928685,58.41037289161,mint_shrink
State/D,1549.84531202346,2034.7555531,484.91024107654,mint_shrink
State/D,1220.33855099897,1230.3217001,9.98314910102999,mint_shrink
State/D,1350.71091414844,1632.7321532,282.02123905156,mint_shrink
State/D,1824.90739885538,1900.4764874,75.5690885446199,mint_shrink
State/D,1464.93577469291,1543.2994348,78.36366010709,mint_shrink
State/D,1495.22839499323,1378.4180475,-116.81034749323,mint_shrink
State/E,4158.47713655243,4366.0297666,207.552630047569,mint_shrink
State/E,2104.13568918169,2734.3132099,630.17752071831,mint_shrink
State/E,2615.29996092596,3177.8650323,562.56507137404,mint_shrink
State/E,3094.32479849764,3902.6373625,808.31256400236,mint_shrink
State/E,2332.16575916037,2692.6588051,360.49304593963,mint_shrink
State/E,2584.97695841895,2669.5490914,84.5721329810504,mint_shrink
State/E,2980.77355806071,3098.3331705,117.55961243929,mint_shrink
State/E,2692.75035646517,3471.1198611,778.36950463483,mint_shrink
State/E,2845.70912101363,3536.3847848,690.67566378637,mint_shrink
State/E,3171.99701063515,3495.8638468,323.86683616485,mint_shrink
State/E,2541.85492371865,3702.7349328,1160.88000908135,mint_shrink
State/E,2528.87031010782,3662.9183909,1134.04808079218,mint_shrink
State/E,4067.55332078224,6153.8009327,2086.24761191776,mint_shrink
State/E,2186.07175232027,2634.3917703,448.32001797973,mint_shrink
State/E,2602.91647598925,3111.7161561,508.79968011075,mint_shrink
State/E,3075.31628033746,4025.360628,950.04434766254,mint_shrink
State/E,2358.23000335291,3210.7827339,852.55273054709,mint_shrink
State/E,2639.32827237302,3178.2638148,538.93554242698,mint_shrink
State/E,3012.68519798096,3709.6048897,696.91969171904,mint_shrink
State/E,2716.85859683315,2868.5051566,151.64655976685,mint_shrink
State/E,2924.3483441339,3327.0647699,402.7164257661,mint_shrink
State/E,3228.76551455391,3704.6519861,475.88647154609,mint_shrink
State/E,2500.80974559342,3698.431886,1197.62214040658,mint_shrink
State/E,2599.54700930735,2844.8202735,245.27326419265,mint_shrink
State/F,1667.50855046299,2343.6643854,676.15583493701,mint_shrink
