Series,Value,actual,error,Rec
Total,44329.50596286,44072.7392445,-256.766718359999,mint_shrink
Total,18832.9572372771,19930.7493685,1097.7921312229,mint_shrink
Total,21609.6762612795,24987.1480166,3377.4717553205,mint_shrink
Total,26678.7969815864,27592.4123105,913.615328913598,mint_shrink
Total,20469.8901918548,23848.8111205,3378.9209286452,mint_shrink
Total,20951.8458620871,21460.2699643,508.424102212903,mint_shrink
Total,25199.0971867603,26037.6773603,838.5801735397,mint_shrink
Total,22510.572367422,24002.5467777,1491.974410278,mint_shrink
Total,24133.6462320931,24902.6609099,769.014677806903,mint_shrink
Total,27187.5316478627,27184.0620199,-3.46962796269872,mint_shrink
Total,22709.2775472746,26563.142602,3853.8650547254,mint_shrink
Total,23614.1231822317,24982.0244496,1367.9012673683,mint_shrink
Total,45656.4241798867,45625.4877973,-30.936382586704,mint_shrink
Total,20362.8707954982,23227.9283088,2865.0575133018,mint_shrink
Total,23187.4768035424,25156.5488327,1969.0720291576,mint_shrink
Total,27732.7808418056,27581.7213234,-151.0595184056,mint_shrink
Total,21910.3799381526,24489.2219019,2578.8419637474,mint_shrink
Total,22063.8413648411,21772.9900453,-290.8513195411,mint_shrink
Total,26417.2203030801,28460.5747546,2043.3544515199,mint_shrink
Total,24232.0637390251,24100.4466318,-131.617107225098,mint_shrink
Total,25167.8398244262,24800.0337588,-367.806065626199,mint_shrink
Total,28171.2765659941,30039.1069853,1867.8304193059,mint_shrink
Total,24424.5592313941,27320.9189079,2896.3596765059,mint_shrink
Total,25079.7026548989,24604.3107738,-475.391881098902,mint_shrink
State/A,15255.3836398627,14467.8990387,-787.484601162702,mint_shrink
State/A,6008.30753708141,5907.6756304,-100.63190668141,mint_shrink
State/A,6807.9625689807,7752.3268736,944.3643046193,mint_shrink
State/A,8724.28716575753,8672.2411988,-52.0459669575303,mint_shrink
State/A,6181.50643794261,7460.3620887,1278.85565075739,mint_shrink
State/A,6094.62860894692,6308.4320648,213.80345585308,mint_shrink
State/A,7615.1524753493,6961.1674717,-653.985003649301,mint_shrink
