,X,Var1,original,value,level1,level2,State,Zone,Region,Purpose,level3
1,1,1,AAAHol,1970.18274607767,A,A,A,A,A,Hol,G1
2,2,2,AAAHol,2025.86891920982,A,A,A,A,A,Hol,G1
3,3,3,AAAHol,2462.98268550375,A,A,A,A,A,Hol,G1
4,4,4,AAAHol,2186.3772308116,A,A,A,A,A,Hol,G1
5,5,5,AAAHol,2168.54670619561,A,A,A,A,A,Hol,G1
6,6,6,AAAHol,2533.24044068353,A,A,A,A,A,Hol,G1
7,7,7,AAAHol,2304.43093417864,A,A,A,A,A,Hol,G1
8,8,8,AAAHol,1849.36434752458,A,A,A,A,A,Hol,G1
9,9,9,AAAHol,1900.70189032514,A,A,A,A,A,Hol,G1
10,10,10,AAAHol,1947.50160577801,A,A,A,A,A,Hol,G1
11,11,11,AAAHol,2371.5632349174,A,A,A,A,A,Hol,G1
12,12,12,AAAHol,2229.89611359196,A,A,A,A,A,Hol,G1
13,13,13,AAAHol,2232.59291226503,A,A,A,A,A,Hol,G1
14,14,14,AAAHol,2144.67680728628,A,A,A,A,A,Hol,G1
15,15,15,AAAHol,2027.17387468949,A,A,A,A,A,Hol,G1
16,16,16,AAAHol,2524.07541887276,A,A,A,A,A,Hol,G1
17,17,17,AAAHol,2310.84754561921,A,A,A,A,A,Hol,G1
18,18,18,AAAHol,1719.67271021282,A,A,A,A,A,Hol,G1
19,19,19,AAAHol,2230.25912687239,A,A,A,A,A,Hol,G1
20,20,20,AAAHol,1964.41759320047,A,A,A,A,A,Hol,G1
21,21,21,AAAHol,1819.18675198232,A,A,A,A,A,Hol,G1
22,22,22,AAAHol,1968.63004827162,A,A,A,A,A,Hol,G1
23,23,23,AAAHol,1859.59341659421,A,A,A,A,A,Hol,G1
24,24,24,AAAHol,1877.86089176054,A,A,A,A,A,Hol,G1
25,25,25,AAAHol,1908.9088797201,A,A,A,A,A,Hol,G1
26,26,26,AAAHol,1639.61631405489,A,A,A,A,A,Hol,G1
27,27,27,AAAHol,2247.13949917963,A,A,A,A,A,Hol,G1
28,28,28,AAAHol,2184.70905865522,A,A,A,A,A,Hol,G1
29,29,29,AAAHol,1883.20267068957,A,A,A,A,A,Hol,G1
30,30,30,AAAHol,2354.33529580193,A,A,A,A,A,Hol,G1
31,31,31,AAAHol,2285.65356973998,A,A,A,A,A,Hol,G1
32,32,32,AAAHol,2031.60058164882,A,A,A,A,A,Hol,G1
33,33,33,AAAHol,2279.92334797506,A,A,A,A,A,Hol,G1
34,34,34,AAAHol,2321.35262835747,A,A,A,A,A,Hol,G1
35,35,35,AAAHol,2364.82061248576,A,A,A,A,A,Hol,G1
36,36,36,AAAHol,2310.47792674233,A,A,A,A,A,Hol,G1
37,37,37,AAAHol,2280.00224793348,A,A,A,A,A,Hol,G1
38,38,38,AAAHol,2077.56295028572,A,A,A,A,A,Hol,G1
39,39,39,AAAHol,2080.41603784541,A,A,A,A,A,Hol,G1
40,40,40,AAAHol,2047.37595892111,A,A,A,A,A,Hol,G1
41,41,41,AAAHol,1928.47054115792,A,A,A,A,A,Hol,G1
42,42,42,AAAHol,2034.48058372393,A,A,A,A,A,Hol,G1
43,43,43,AAAHol,1825.09339294152,A,A,A,A,A,Hol,G1
44,44,44,AAAHol,2530.88532137191,A,A,A,A,A,Hol,G1
45,45,45,AAAHol,2445.43455172031,A,A,A,A,A,Hol,G1
46,46,46,AAAHol,1918.03225459828,A,A,A,A,A,Hol,G1
47,47,47,AAAHol,2005.93729007105,A,A,A,A,A,Hol,G1
48,48,48,AAAHol,1976.39705549617,A,A,A,A,A,Hol,G1
49,49,49,AAAHol,2266.77997735106,A,A,A,A,A,Hol,G1
50,50,50,AAAHol,2063.10564563793,A,A,A,A,A,Hol,G1
51,51,51,AAAHol,2202.50100207356,A,A,A,A,A,Hol,G1
52,52,52,AAAHol,2147.33872280088,A,A,A,A,A,Hol,G1
53,53,53,AAAHol,2092.17913312414,A,A,A,A,A,Hol,G1
54,54,54,AAAHol,2446.17017574488,A,A,A,A,A,Hol,G1
55,55,55,AAAHol,2129.28215186756,A,A,A,A,A,Hol,G1
56,56,56,AAAHol,2494.17797388461,A,A,A,A,A,Hol,G1
57,57,57,AAAHol,1808.35292056862,A,A,A,A,A,Hol,G1
58,58,58,AAAHol,2196.79292858297,A,A,A,A,A,Hol,G1
59,59,59,AAAHol,2139.76123832472,A,A,A,A,A,Hol,G1
60,60,60,AAAHol,2183.08535533836,A,A,A,A,A,Hol,G1
61,61,61,AAAHol,2209.16897846663,A,A,A,A,A,Hol,G1
62,62,62,AAAHol,1978.65196826347,A,A,A,A,A,Hol,G1
63,63,63,AAAHol,2026.98658121103,A,A,A,A,A,Hol,G1
64,64,64,AAAHol,1891.13271543092,A,A,A,A,A,Hol,G1
65,65,65,AAAHol,1767.27151465953,A,A,A,A,A,Hol,G1
66,66,66,AAAHol,2167.21626457357,A,A,A,A,A,Hol,G1
67,67,67,AAAHol,2209.72915639685,A,A,A,A,A,Hol,G1
68,68,68,AAAHol,2192.71838465399,A,A,A,A,A,Hol,G1
69,69,69,AAAHol,2313.77365387521,A,A,A,A,A,Hol,G1
70,70,70,AAAHol,2650.05653406427,A,A,A,A,A,Hol,G1
71,71,71,AAAHol,2098.25275207333,A,A,A,A,A,Hol,G1
72,72,72,AAAHol,1580.75507005064,A,A,A,A,A,Hol,G1
73,73,73,AAAHol,2260.63393097014,A,A,A,A,A,Hol,G1
74,74,74,AAAHol,1897.61249822226,A,A,A,A,A,Hol,G1
75,75,75,AAAHol,1931.11162259531,A,A,A,A,A,Hol,G1
76,76,76,AAAHol,2329.38270234468,A,A,A,A,A,Hol,G1
77,77,77,AAAHol,2019.86054567383,A,A,A,A,A,Hol,G1
78,78,78,AAAHol,1856.76871987661,A,A,A,A,A,Hol,G1
79,79,79,AAAHol,2113.85768301484,A,A,A,A,A,Hol,G1
80,80,80,AAAHol,2109.63300467069,A,A,A,A,A,Hol,G1
81,81,81,AAAHol,2105.05946719541,A,A,A,A,A,Hol,G1
82,82,82,AAAHol,2241.6870837519,A,A,A,A,A,Hol,G1
83,83,83,AAAHol,2048.1551091772,A,A,A,A,A,Hol,G1
84,84,84,AAAHol,2209.45970736706,A,A,A,A,A,Hol,G1
85,85,85,AAAHol,2104.64185557604,A,A,A,A,A,Hol,G1
86,86,86,AAAHol,2127.18003062931,A,A,A,A,A,Hol,G1
87,87,87,AAAHol,2380.70045683719,A,A,A,A,A,Hol,G1
88,88,88,AAAHol,2306.8839211699,A,A,A,A,A,Hol,G1
89,89,89,AAAHol,2013.3359258045,A,A,A,A,A,Hol,G1
90,90,90,AAAHol,2404.62719258927,A,A,A,A,A,Hol,G1
91,91,91,AAAHol,2411.77540782743,A,A,A,A,A,Hol,G1
92,92,92,AAAHol,2355.79959258293,A,A,A,A,A,Hol,G1
93,93,93,AAAHol,2209.73982298623,A,A,A,A,A,Hol,G1
94,94,94,AAAHol,2041.75242041207,A,A,A,A,A,Hol,G1
95,95,95,AAAHol,2421.6840852203,A,A,A,A,A,Hol,G1
96,96,96,AAAHol,1985.24875922286,A,A,A,A,A,Hol,G1
97,97,97,AAAHol,2664.13872439926,A,A,A,A,A,Hol,G1
98,98,98,AAAHol,2509.59707206452,A,A,A,A,A,Hol,G1
99,99,99,AAAHol,2192.45629038569,A,A,A,A,A,Hol,G1
100,100,100,AAAHol,1925.35227131362,A,A,A,A,A,Hol,G1
101,101,101,AAAHol,1851.23136315616,A,A,A,A,A,Hol,G1
102,102,102,AAAHol,2154.86877712388,A,A,A,A,A,Hol,G1
103,103,103,AAAHol,2098.72023038809,A,A,A,A,A,Hol,G1
104,104,104,AAAHol,2070.07273206573,A,A,A,A,A,Hol,G1
105,105,105,AAAHol,1876.61506298549,A,A,A,A,A,Hol,G1
106,106,106,AAAHol,2084.65196886101,A,A,A,A,A,Hol,G1
107,107,107,AAAHol,1934.56499855607,A,A,A,A,A,Hol,G1
108,108,108,AAAHol,1620.73000445808,A,A,A,A,A,Hol,G1
109,109,109,AAAHol,2003.17890441102,A,A,A,A,A,Hol,G1
110,110,110,AAAHol,2268.01050286604,A,A,A,A,A,Hol,G1
111,111,111,AAAHol,2031.78601531069,A,A,A,A,A,Hol,G1
112,112,112,AAAHol,2270.12031002781,A,A,A,A,A,Hol,G1
113,113,113,AAAHol,1656.41017200368,A,A,A,A,A,Hol,G1
114,114,114,AAAHol,2076.27364037047,A,A,A,A,A,Hol,G1
115,115,115,AAAHol,2237.40640283877,A,A,A,A,A,Hol,G1
116,116,116,AAAHol,2262.81955017543,A,A,A,A,A,Hol,G1
117,117,117,AAAHol,2133.15531436918,A,A,A,A,A,Hol,G1
118,118,118,AAAHol,2007.77109612765,A,A,A,A,A,Hol,G1
119,119,119,AAAHol,1881.32295368071,A,A,A,A,A,Hol,G1
120,120,120,AAAHol,1735.56685683069,A,A,A,A,A,Hol,G1
121,121,121,AAAHol,2120.62041162764,A,A,A,A,A,Hol,G1
122,122,122,AAAHol,1869.5633467086,A,A,A,A,A,Hol,G1
123,123,123,AAAHol,1964.06235129735,A,A,A,A,A,Hol,G1
124,124,124,AAAHol,2048.29575465547,A,A,A,A,A,Hol,G1
125,125,125,AAAHol,2420.98469827851,A,A,A,A,A,Hol,G1
126,126,126,AAAHol,2051.29022258335,A,A,A,A,A,Hol,G1
127,127,127,AAAHol,2220.4288225987,A,A,A,A,A,Hol,G1
128,128,128,AAAHol,2189.60869175355,A,A,A,A,A,Hol,G1
129,129,129,AAAHol,1886.52388594957,A,A,A,A,A,Hol,G1
130,130,130,AAAHol,2061.64084847282,A,A,A,A,A,Hol,G1
131,131,131,AAAHol,2438.25603468614,A,A,A,A,A,Hol,G1
132,132,132,AAAHol,2156.09983137596,A,A,A,A,A,Hol,G1
133,133,133,AAAHol,2219.8766897924,A,A,A,A,A,Hol,G1
134,134,134,AAAHol,1990.61694183603,A,A,A,A,A,Hol,G1
135,135,135,AAAHol,1612.35962330031,A,A,A,A,A,Hol,G1
136,136,136,AAAHol,2306.87056755132,A,A,A,A,A,Hol,G1
137,137,137,AAAHol,1698.12804264094,A,A,A,A,A,Hol,G1
138,138,138,AAAHol,2259.85434321302,A,A,A,A,A,Hol,G1
139,139,139,AAAHol,2628.64702752993,A,A,A,A,A,Hol,G1
140,140,140,AAAHol,1925.35210766288,A,A,A,A,A,Hol,G1
141,141,141,AAAHol,2218.00535433116,A,A,A,A,A,Hol,G1
142,142,142,AAAHol,2072.41741276506,A,A,A,A,A,Hol,G1
143,143,143,AAAHol,1748.55152922736,A,A,A,A,A,Hol,G1
144,144,144,AAAHol,1566.0802447924,A,A,A,A,A,Hol,G1
145,145,145,AAAHol,1681.95061916024,A,A,A,A,A,Hol,G1
146,146,146,AAAHol,1840.52909588011,A,A,A,A,A,Hol,G1
147,147,147,AAAHol,1650.54527965549,A,A,A,A,A,Hol,G1
148,148,148,AAAHol,2231.21121022344,A,A,A,A,A,Hol,G1
149,149,149,AAAHol,2511.7942538591,A,A,A,A,A,Hol,G1
150,150,150,AAAHol,1930.57792101434,A,A,A,A,A,Hol,G1
151,151,151,AAAHol,2378.7750419951,A,A,A,A,A,Hol,G1
152,152,152,AAAHol,2360.27745906259,A,A,A,A,A,Hol,G1
153,153,153,AAAHol,2229.13611177213,A,A,A,A,A,Hol,G1
154,154,154,AAAHol,1893.98700583455,A,A,A,A,A,Hol,G1
155,155,155,AAAHol,2039.03069729232,A,A,A,A,A,Hol,G1
156,156,156,AAAHol,1867.0360281972,A,A,A,A,A,Hol,G1
157,157,157,AAAHol,2244.9593632219,A,A,A,A,A,Hol,G1
158,158,158,AAAHol,1965.39373837879,A,A,A,A,A,Hol,G1
159,159,159,AAAHol,2268.32325358426,A,A,A,A,A,Hol,G1
160,160,160,AAAHol,2084.05468210469,A,A,A,A,A,Hol,G1
161,161,161,AAAHol,2329.00705916307,A,A,A,A,A,Hol,G1
162,162,162,AAAHol,1894.17541738915,A,A,A,A,A,Hol,G1
163,163,163,AAAHol,1912.53607854859,A,A,A,A,A,Hol,G1
164,164,164,AAAHol,2869.26785287757,A,A,A,A,A,Hol,G1
165,165,165,AAAHol,2148.69343459024,A,A,A,A,A,Hol,G1
166,166,166,AAAHol,2188.55178241911,A,A,A,A,A,Hol,G1
167,167,167,AAAHol,2266.96021787476,A,A,A,A,A,Hol,G1
168,168,168,AAAHol,1869.978213018,A,A,A,A,A,Hol,G1
169,169,169,AAAHol,2249.11086609105,A,A,A,A,A,Hol,G1
170,170,170,AAAHol,2144.1552353898,A,A,A,A,A,Hol,G1
171,171,171,AAAHol,2028.73214645244,A,A,A,A,A,Hol,G1
172,172,172,AAAHol,2154.14344203578,A,A,A,A,A,Hol,G1
173,173,173,AAAHol,2081.43148981364,A,A,A,A,A,Hol,G1
174,174,174,AAAHol,2617.60727942673,A,A,A,A,A,Hol,G1
175,175,175,AAAHol,2110.83423142046,A,A,A,A,A,Hol,G1
176,176,176,AAAHol,1977.23041555286,A,A,A,A,A,Hol,G1
177,177,177,AAAHol,2071.99862297304,A,A,A,A,A,Hol,G1
178,178,178,AAAHol,2168.83226051061,A,A,A,A,A,Hol,G1
179,179,179,AAAHol,2217.75738687773,A,A,A,A,A,Hol,G1
180,180,180,AAAHol,1863.23578530703,A,A,A,A,A,Hol,G1
181,181,181,AAAHol,1865.15345874747,A,A,A,A,A,Hol,G1
182,182,182,AAAHol,2309.19668329061,A,A,A,A,A,Hol,G1
183,183,183,AAAHol,1994.9194896056,A,A,A,A,A,Hol,G1
184,184,184,AAAHol,1945.8409428181,A,A,A,A,A,Hol,G1
185,185,185,AAAHol,1973.46940306307,A,A,A,A,A,Hol,G1
186,186,186,AAAHol,2089.05449788919,A,A,A,A,A,Hol,G1
187,187,187,AAAHol,2435.44096324606,A,A,A,A,A,Hol,G1
188,188,188,AAAHol,2283.3471356592,A,A,A,A,A,Hol,G1
189,189,189,AAAHol,2314.60644132917,A,A,A,A,A,Hol,G1
190,190,190,AAAHol,2031.06614432468,A,A,A,A,A,Hol,G1
191,191,191,AAAHol,2163.24841782331,A,A,A,A,A,Hol,G1
192,192,192,AAAHol,1864.12145337417,A,A,A,A,A,Hol,G1
193,193,193,AAAHol,2127.7124729053,A,A,A,A,A,Hol,G1
194,194,194,AAAHol,1850.04408498872,A,A,A,A,A,Hol,G1
195,195,195,AAAHol,1692.84268090639,A,A,A,A,A,Hol,G1
196,196,196,AAAHol,2532.64667100814,A,A,A,A,A,Hol,G1
197,197,197,AAAHol,2281.40339397024,A,A,A,A,A,Hol,G1
198,198,198,AAAHol,1897.55576600401,A,A,A,A,A,Hol,G1
199,199,199,AAAHol,2023.5290904084,A,A,A,A,A,Hol,G1
200,200,200,AAAHol,1888.68482233719,A,A,A,A,A,Hol,G1
201,201,201,AAAHol,2603.10300868944,A,A,A,A,A,Hol,G1
202,202,202,AAAHol,2491.9648618059,A,A,A,A,A,Hol,G1
203,203,203,AAAHol,2157.60512483511,A,A,A,A,A,Hol,G1
204,204,204,AAAHol,2075.04526268514,A,A,A,A,A,Hol,G1
205,205,205,AAAHol,2048.88671762261,A,A,A,A,A,Hol,G1
206,206,206,AAAHol,1924.32871431818,A,A,A,A,A,Hol,G1
207,207,207,AAAHol,1795.99535410589,A,A,A,A,A,Hol,G1
208,208,208,AAAHol,1970.15382611457,A,A,A,A,A,Hol,G1
209,209,209,AAAHol,2454.60389948273,A,A,A,A,A,Hol,G1
210,210,210,AAAHol,2166.37566146767,A,A,A,A,A,Hol,G1
211,211,211,AAAHol,2252.51437802897,A,A,A,A,A,Hol,G1
212,212,212,AAAHol,2247.16643450106,A,A,A,A,A,Hol,G1
213,213,213,AAAHol,2501.63155285769,A,A,A,A,A,Hol,G1
214,214,214,AAAHol,2069.09735912258,A,A,A,A,A,Hol,G1
215,215,215,AAAHol,1901.88389782472,A,A,A,A,A,Hol,G1
216,216,216,AAAHol,2294.0895537478,A,A,A,A,A,Hol,G1
217,217,217,AAAHol,2070.03309361916,A,A,A,A,A,Hol,G1
218,218,218,AAAHol,1862.42535297768,A,A,A,A,A,Hol,G1
219,219,219,AAAHol,1656.27870496575,A,A,A,A,A,Hol,G1
220,220,220,AAAHol,1758.98725340936,A,A,A,A,A,Hol,G1
221,221,221,AAAHol,1904.61268013707,A,A,A,A,A,Hol,G1
222,222,222,AAAHol,2224.72321979315,A,A,A,A,A,Hol,G1
223,223,223,AAAHol,2480.88664721841,A,A,A,A,A,Hol,G1
