,Series,ETS.rec,ETS.unrec,ARIMA.rec,ARIMA.unrec,OLS.rec,OLS.unrec,Actual,date,ForecastInterval,OLS.var.rec,OLS.var.unrec
1,Total,45222.8218,45211.29867,44789.65757,44690.8091,43845.6604377774,43832.5380049753,44072.73924,1,24Step,1120.27860778972,539.849993583693
2,Total,19813.91684,19823.06886,18368.41402,18289.07057,17825.3839113889,17804.3373904865,19930.74937,2,24Step,627.992681400611,473.21477034551
3,Total,22332.80206,22319.87135,21685.65283,21543.62622,20685.9396184749,20684.8949480694,24987.14802,3,24Step,571.916258298776,598.450112870501
4,Total,27061.80271,27061.38323,26097.10295,25960.13075,25434.0254263527,25445.9945026426,27592.41231,4,24Step,549.758392956486,573.964784624749
5,Total,20928.29207,20919.24263,19461.15898,19373.8074,19082.871817903,19087.7205378763,23848.81112,5,24Step,480.611957497284,504.223171368906
6,Total,21017.53799,21014.62876,19830.56572,19710.59832,19413.3586487046,19429.5484724814,21460.26996,6,24Step,547.837705004884,586.808656549038
7,Total,25566.52194,25550.60566,24168.46087,24102.38347,23794.5976115629,23807.0331044603,26037.67736,7,24Step,467.829331147392,508.162392152611
8,Total,23062.0057,23058.85,21509.1191,21445.00691,21169.2287435344,21180.4074263096,24002.54678,8,24Step,490.00939810818,522.218557860862
9,Total,24203.8867,24203.78325,21877.96044,21832.46132,22061.2416720829,22065.7023853192,24902.66091,9,24Step,454.444690257473,472.332362921666
10,Total,26969.95938,26961.79302,25721.54291,25606.26235,25297.8449894682,25313.8217546958,27184.06202,10,24Step,510.829437097395,547.673460141986
11,Total,22495.40229,22484.33857,21670.28775,21564.35174,21034.3206389394,21057.4171507511,26563.1426,11,24Step,561.614128394388,602.88977741666
12,Total,22768.44926,22763.65147,21492.22652,21394.49665,21248.1818372343,21257.8813803932,24982.02445,12,24Step,1386.84634644216,527.773642755051
13,Total,45223.39001,45211.29867,43674.78979,43483.77645,43242.1254292967,43244.9968131172,45625.4878,13,24Step,665.614012169191,496.623094844774
14,Total,19814.34978,19823.06886,17838.62607,17734.46132,17696.871897175,17694.5820480196,23227.92831,14,24Step,556.174448085861,485.517773372468
15,Total,22333.26671,22319.87135,21016.98777,20845.3033,20218.4166550885,20217.842476936,25156.54883,15,24Step,461.369053554773,494.131083236618
16,Total,27062.28408,27061.38323,25616.83355,25447.4576,24963.6091172298,24964.6284666809,27581.72132,16,24Step,473.587699032316,494.108032529618
17,Total,20928.78626,20919.24263,19199.35066,19099.21679,18785.3387647235,18785.2588537825,24489.2219,17,24Step,454.474342333796,487.601852993826
18,Total,21018.06727,21014.62876,19428.34206,19294.45004,18955.9875731398,18958.8357027593,21772.99005,18,24Step,454.052418366642,495.519163777698
19,Total,25567.22852,25550.60566,23987.20474,23920.58159,23505.1921023719,23508.1262337077,28460.57475,19,24Step,451.10618631823,489.690130724859
20,Total,23062.65668,23058.85,21290.54352,21211.13138,20845.9772181822,20847.3624822269,24100.44663,20,24Step,451.177587968913,487.886276550205
21,Total,24204.41717,24203.78325,21809.59569,21775.50259,21960.911487969,21961.3881830645,24800.03376,21,24Step,446.982616263519,484.251849362481
22,Total,26970.42035,26961.79302,25442.01892,25339.74667,24962.4114975056,24965.766264789,30039.10699,22,24Step,458.062050603432,490.957200679258
23,Total,22495.75797,22484.33857,21329.09759,21207.22262,20527.0397933261,20530.9417059105,27320.91891,23,24Step,528.152000274081,494.866196253708
24,Total,22768.78001,22763.65147,21282.13883,21180.25717,20883.4410940374,20886.8178870502,24604.31077,24,24Step,491.820717744393,491.439391213771
25,State/A,15582.99132,15532.43493,15099.69585,15114.68685,14788.3292240179,14747.4866286958,14467.89904,1,24Step,277.813489586438,188.694255735556
26,State/A,6124.14689,6042.756791,5651.484622,5630.696934,5493.41122262601,5495.55928026659,5907.67563,2,24Step,193.44312780272,186.597949901239
27,State/A,6928.611989,6869.016008,6590.420924,6744.94976,6353.36424512831,6308.24056719734,7752.326874,3,24Step,153.450979994134,196.236036144073
28,State/A,8925.192961,8880.439968,8286.853294,8457.035554,8219.20950856032,8185.73175011993,8672.241199,4,24Step,150.592290537894,192.799150352726
29,State/A,6292.433016,6220.024519,5685.044737,5731.900987,5662.42991376743,5632.43016034961,7460.362089,5,24Step,147.049908333909,188.694198116966
30,State/A,5993.53187,5898.240642,5704.13115,5766.923635,5508.39573356666,5463.52443963975,6308.432065,6,24Step,158.264820868335,209.16458252223
31,State/A,7585.722134,7513.672675,7428.921557,7509.20367,7038.61316819643,7014.09029353263,6961.167472,7,24Step,149.017169292745,200.987848396506
32,State/A,6425.512556,6354.897802,6136.223325,6150.964316,5881.69127693791,5851.45344034197,7128.244522,8,24Step,152.407514185918,204.128507843678
33,State/A,6916.809106,6850.706752,6436.743846,6525.17429,6255.92168043441,6258.2031208822,7142.632359,9,24Step,143.801860118073,186.369651714283
34,State/A,8381.916004,8306.961667,7919.455068,8036.972379,7832.38516420143,7803.55373483379,8088.210826,10,24Step,146.882616313257,194.624050283844
35,State/A,6847.412669,6805.712741,6911.317256,7087.082226,6260.63068574467,6228.14092780881,8871.980669,11,24Step,166.999992417799,223.964423256104
36,State/A,7261.742452,7174.626317,6973.286176,7095.857008,6861.3922505754,6821.57148670364,7166.123756,12,24Step,313.35289065866,190.598993774692
37,State/A,15580.54951,15532.43642,14640.46689,14785.544,14701.1356783651,14679.8674326796,14631.32155,13,24Step,197.887097633496,190.908590543614
38,State/A,6122.650698,6042.757373,5665.714476,5811.384053,5481.94923580127,5474.46072216522,6602.415835,14,24Step,172.390492150107,191.081609712855
39,State/A,6926.903499,6869.016669,6337.294738,6596.690731,6229.82558297956,6218.07943810988,7909.280144,15,24Step,145.210346545609,191.846233382765
40,State/A,8923.36407,8880.440823,8221.010258,8536.030315,8109.57282325639,8096.80121828156,8873.892082,16,24Step,149.490548680225,191.106656578063
41,State/A,6290.532605,6220.025118,5717.699737,5860.14714,5572.01923521941,5560.97541607624,7953.405786,17,24Step,145.179001833695,191.113084180737
42,State/A,5991.399112,5898.241209,5493.654041,5644.757489,5360.4467120519,5345.89228597231,6746.636702,18,24Step,142.949564194587,192.520213160537
43,State/A,7582.406553,7513.673399,7450.934746,7600.121782,6924.63306270996,6911.89684651005,8050.377621,19,24Step,142.814195868677,192.271458983337
44,State/A,6422.567888,6354.898414,6057.172346,6145.279315,5749.8024835083,5740.24433893437,7227.612582,20,24Step,143.235985487613,192.022350280667
45,State/A,6914.664358,6850.707412,6313.910731,6439.062652,6212.26028112646,6207.90873823402,6778.363226,21,24Step,142.480460007757,191.512609629863
46,State/A,8380.226463,8306.962467,7892.721767,8124.171472,7725.72516438002,7715.80103790784,8592.99825,22,24Step,143.003751335624,191.66621050143
47,State/A,6846.429562,6805.713396,6714.986736,6977.265601,6095.51035527541,6083.06623294026,8663.24096,23,24Step,163.272049493307,192.592578245952
48,State/A,7260.926328,7174.627007,6927.622508,7137.77213,6760.71385174938,6747.41051284509,7953.659899,24,24Step,155.880128582285,191.789919881456
49,State/B,10586.74869,10478.95348,10558.30001,10563.39982,10425.6454784103,10399.9377235281,9989.135051,1,24Step,229.449938907178,148.875411264691
50,State/B,4312.337416,4240.221817,3888.105218,3908.882516,3901.88345155804,3919.6481685315,4686.36547,2,24Step,143.441007128612,132.551159994808
51,State/B,5062.882189,5006.830287,5010.821818,5186.078013,4793.53472390436,4759.96864692087,5659.95244,3,24Step,123.03485979636,153.871745866345
52,State/B,5584.645921,5526.586619,5761.980869,5995.390047,5368.5593123408,5350.68136812396,5483.70047,4,24Step,137.20700553785,174.637949001191
53,State/B,4314.329113,4248.040168,3912.075768,3993.430898,3959.65321878936,3937.07283553089,4732.835635,5,24Step,106.261856504943,129.780450664175
54,State/B,4182.684451,4102.731727,3721.267785,3800.048018,3831.1637968203,3782.8956177775,3826.337428,6,24Step,108.862682711027,132.011563748013
55,State/B,4692.160727,4623.430294,4053.978441,4119.349231,4254.67594397249,4227.58368291288,4512.809467,7,24Step,101.215188441917,124.574117422174
56,State/B,4059.691466,4000.51705,3735.306134,3776.385416,3728.65294440943,3700.00363417397,4147.01437,8,24Step,112.19702139437,138.90212983377
57,State/B,4168.615969,4107.397295,3839.81097,3947.807394,3760.88734013523,3770.6788905302,4342.727842,9,24Step,105.997021347846,131.107418029896
58,State/B,4794.813911,4730.415866,4801.209068,4984.896723,4488.12696592113,4471.90743622517,5142.343235,10,24Step,117.955472652197,148.777938808311
59,State/B,4801.444113,4754.742461,4583.252442,4736.30952,4548.52366570674,4506.65168858866,5038.076915,11,24Step,113.901448565478,140.563826267987
60,State/B,4843.837085,4781.658672,4762.377284,4927.230234,4468.92256207603,4441.1525647112,5340.151278,12,24Step,283.514130570228,136.206351066897
61,State/B,10591.76148,10478.95348,10571.19226,10748.14501,10272.5882512764,10257.9069087224,11201.03352,13,24Step,144.255600006351,132.026680206003
62,State/B,4311.86342,4240.221817,3901.275167,4062.921718,3868.08417959127,3866.12746675441,4689.664308,14,24Step,128.249115329886,129.361727989519
63,State/B,5062.804986,5006.830287,5033.755728,5347.976709,4665.71793140196,4659.49392986767,5457.522218,15,24Step,106.615220702182,131.311628908222
64,State/B,5585.170947,5526.586619,5817.736114,6196.004386,5200.72661053306,5194.64514592775,5291.015661,16,24Step,108.88051523236,133.126950352635
65,State/B,4313.140548,4248.040168,3902.796743,4082.826083,3900.42810116695,3894.42708300504,4268.26616,17,24Step,103.492944129065,129.061636469627
66,State/B,4181.29771,4102.731727,3747.841775,3945.795909,3760.02603742832,3749.5136808325,4103.019168,18,24Step,102.730627360191,129.235682865762
67,State/B,4689.913319,4623.430294,4054.416928,4201.223182,4246.79087388064,4237.4741577416,4904.525878,19,24Step,102.245809321549,128.033223932521
68,State/B,4057.394297,4000.51705,3840.441496,3974.305432,3655.84333199391,3650.28311710178,4000.422405,20,24Step,103.185715727654,129.513440762511
69,State/B,4167.314483,4107.397295,3869.709942,4029.31572,3736.42254356768,3736.1255260835,4132.168965,21,24Step,102.48792137615,128.753594818959
70,State/B,4794.361352,4730.415866,4800.819039,5084.247388,4389.9822436642,4385.71399662382,5719.297913,22,24Step,104.047262135172,130.502629696498
71,State/B,4801.889002,4754.742461,4615.999263,4876.024372,4444.23646170682,4435.59349944204,5165.403172,23,24Step,126.364507583792,130.205712745257
72,State/B,4843.86943,4781.658672,4678.125206,4936.263739,4392.96889564231,4383.93341300474,5000.483537,24,24Step,115.344955353181,129.382328641499
73,State/C,9689.050534,9603.229138,9420.317473,9389.585916,9596.15670880541,9550.03467476926,8928.542621,1,24Step,203.465362639468,213.01531707806
74,State/C,4373.674024,4258.422243,4368.638901,4365.782475,4212.06597142846,4216.84174112609,4187.357323,2,24Step,171.799505945512,201.116323803318
