,Series,ARIMA.rec,ARIMA.unrec,OLS.rec,OLS.unrec,ARIMAX.rec,ARIMAX.unrec,OLSX.rec,OLSX.unrec,Actual,date,ForecastInterval
1,Total,44966.74784,44690.8091,44746.06684,44814.61124,45065.55243,44785.87039,44753.09306,44814.22138,44072.73924,1,24Step
2,Total,18593.03415,18289.07057,27535.26954,29360.13692,18665.29766,18321.37552,27439.7291,29183.89529,19930.74937,2,24Step
3,Total,22064.29518,21543.62622,20880.32491,20933.49729,21688.33612,21217.05835,20603.65597,20757.2552,24987.14802,3,24Step
4,Total,26482.51979,25960.13075,21846.56729,21120.11378,26976.00802,26438.4952,19679.71537,19084.59741,27592.41231,4,24Step
5,Total,19708.97375,19373.8074,17990.70074,17919.49217,19817.68502,19424.7575,19296.12406,18952.23303,23848.81112,5,24Step
6,Total,20141.24223,19710.59832,17310.10004,16821.15999,20275.24569,19789.46337,17957.30945,17538.44904,21460.26996,6,24Step
7,Total,24327.44998,24102.38347,21483.14037,20898.92579,24426.03379,24122.59847,21843.70423,21345.995,26037.67736,7,24Step
8,Total,21655.56471,21445.00691,21343.96761,21280.05847,21759.98193,21501.91722,21443.66267,21376.1245,24002.54678,8,24Step
9,Total,22016.30732,21832.46132,22337.08745,22259.61758,22111.09266,21881.75464,22438.64694,22365.84764,24902.66091,9,24Step
10,Total,26019.70076,25606.26235,25255.36192,25214.12539,26090.26827,25656.86557,25370.47214,25342.86002,27184.06202,10,24Step
11,Total,21986.31797,21564.35174,22008.56557,22234.95436,22095.77053,21620.52855,22054.33343,22271.05634,26563.1426,11,24Step
12,Total,21808.59326,21394.49665,20694.93093,20566.12221,21876.1164,21435.69425,20779.71713,20689.77619,24982.02445,12,24Step
13,Total,44168.14347,43483.77645,42519.95464,42146.02704,44267.97479,43556.35848,42567.64241,42245.60845,45625.4878,13,24Step
14,Total,18193.52058,17734.46132,26228.99915,27771.02168,18299.85441,17775.49373,26124.74096,27596.31621,23227.92831,14,24Step
15,Total,21546.94684,20845.3033,20072.67575,19982.98871,23448.68601,22721.75982,19771.52023,19772.46588,25156.54883,15,24Step
16,Total,26140.08646,25447.4576,21328.37952,20547.40067,24288.61618,23609.35436,21917.46513,21252.03554,27581.72132,16,24Step
17,Total,19525.71389,19099.21679,17647.03012,17570.28035,19617.22123,19123.7653,17617.47485,17492.84196,24489.2219,17,24Step
18,Total,19835.92061,19294.45004,17073.77393,16604.17004,19931.2423,19316.4509,17093.6476,16632.42399,21772.99005,18,24Step
19,Total,24183.41579,23920.58159,21314.17379,20760.15743,24272.17448,23914.77119,21324.04144,20779.98206,28460.57475,19,24Step
20,Total,21524.62675,21211.13138,21218.16781,21187.56549,21604.0325,21235.29327,21109.44217,21019.02975,24100.44663,20,24Step
21,Total,21944.24865,21775.50259,22239.64542,22194.5008,22046.79321,21822.71932,22213.57927,22137.12129,24800.03376,21,24Step
22,Total,25759.44397,25339.74667,25177.06358,25165.20419,25811.34661,25348.69541,25213.04082,25193.00879,30039.10699,22,24Step
23,Total,21742.39755,21207.22262,21943.57549,22195.61436,21809.32698,21205.32799,21939.93458,22169.6694,27320.91891,23,24Step
24,Total,21647.80803,21180.25717,20639.57024,20532.45038,21699.25585,21187.66928,20693.39726,20618.16781,24604.31077,24,24Step
25,State/A,15096.45901,15114.68685,15148.38983,15079.44198,15148.27219,15176.72865,15184.47761,15136.68211,14467.89904,1,24Step
26,State/A,5744.460139,5630.696934,8643.232094,8654.521171,5781.594198,5742.793822,8706.278171,8729.313538,5907.67563,2,24Step
27,State/A,6619.280125,6744.94976,6086.620859,5720.73891,6559.276135,6669.855364,5756.432704,5285.459614,7752.326874,3,24Step
28,State/A,8383.220566,8457.035554,6880.954985,6723.397515,8765.631396,8914.756055,6107.26033,5922.606862,8672.241199,4,24Step
29,State/A,5749.484299,5731.900987,5470.936231,5514.14871,5863.153527,5960.532095,6168.794462,6318.868388,7460.362089,5,24Step
30,State/A,5775.087737,5766.923635,4842.077712,4828.696715,5912.563414,6020.63831,5039.252529,5052.839201,6308.432065,6,24Step
31,State/A,7443.962551,7509.20367,6199.049618,6197.040222,7508.433151,7703.495809,6320.897303,6328.526956,6961.167472,7,24Step
32,State/A,6183.125881,6150.964316,5911.431802,5917.680937,6295.667801,6347.389991,5977.62956,6006.524835,7128.244522,8,24Step
33,State/A,6461.294439,6525.17429,6209.262484,6163.617513,6550.269349,6723.309924,6203.664085,6148.548209,7142.632359,9,24Step
34,State/A,8023.411273,8036.972379,7766.37287,7765.805234,8255.538706,8395.081466,7783.437358,7776.599081,8088.210826,10,24Step
35,State/A,6868.927322,7087.082226,6715.169768,6761.03164,7096.337931,7439.063783,6732.911469,6776.483672,8871.980669,11,24Step
36,State/A,7008.820227,7095.857008,6763.811868,6748.546547,7178.244341,7346.546172,6749.879954,6705.478079,7166.123756,12,24Step
37,State/A,14756.7874,14785.544,14673.52824,14679.91376,14976.12874,15003.46045,14702.91887,14702.06991,14631.32155,13,24Step
38,State/A,5697.935961,5811.384053,8396.108701,8477.298949,5875.463347,6055.537015,8445.129482,8528.002463,6602.415835,14,24Step
39,State/A,6433.584154,6596.690731,5935.484432,5625.46182,7340.730775,7508.326035,5594.422865,5176.967561,7909.280144,15,24Step
40,State/A,8314.425954,8536.030315,6776.142302,6658.32656,7931.558417,8245.268876,7009.869888,6892.387581,8873.892082,16,24Step
41,State/A,5782.396158,5860.14714,5389.539688,5460.212163,5906.584486,6065.728177,5501.51598,5634.951398,7953.405786,17,24Step
42,State/A,5639.922394,5644.757489,4773.307415,4778.864467,5841.452577,5997.687962,4747.296296,4752.342036,6746.636702,18,24Step
43,State/A,7475.101059,7600.121782,6137.457145,6148.720877,7580.040283,7826.227727,6155.266767,6180.573645,8050.377621,19,24Step
44,State/A,6132.828256,6145.279315,5854.161827,5869.91927,6303.822208,6422.527349,5868.386862,5919.261207,7227.612582,20,24Step
45,State/A,6354.363124,6439.062652,6154.727088,6116.061413,6504.807689,6668.444221,6121.609161,6085.430016,6778.363226,21,24Step
46,State/A,7961.383157,8124.171472,7713.692105,7718.32491,8246.926413,8572.16305,7715.544667,7723.087166,8592.99825,22,24Step
47,State/A,6737.972049,6977.265601,6663.781571,6713.579248,6995.524108,7369.868892,6672.826903,6726.793623,8663.24096,23,24Step
48,State/A,6980.404662,7137.77213,6713.301751,6701.104451,7156.001032,7393.723916,6694.291584,6657.308562,7953.659899,24,24Step
49,State/B,10545.86571,10563.39982,10493.89014,10456.78243,10602.93091,10641.62022,10491.80335,10462.20756,9989.135051,1,24Step
50,State/B,3869.254829,3908.882516,5963.525215,5659.346769,4030.528906,4207.312817,5854.742336,5527.426298,4686.36547,2,24Step
51,State/B,4975.029323,5186.078013,4836.876789,4620.025195,4781.483651,4958.799798,4794.918252,4552.589552,5659.95244,3,24Step
52,State/B,5716.592529,5995.390047,4366.202513,4401.833763,5653.275881,5783.482104,3832.771308,3833.946452,5483.70047,4,24Step
53,State/B,3890.512825,3993.430898,3502.420972,3577.951391,4049.354796,4314.055238,3847.819264,3978.619738,4732.835635,5,24Step
54,State/B,3752.216586,3800.048018,3279.902657,3294.031925,3898.013919,4144.617128,3468.197442,3511.216038,3826.337428,6,24Step
55,State/B,4103.281618,4119.349231,3672.240396,3739.35718,4387.040069,4708.190115,3774.636243,3849.211187,4512.809467,7,24Step
56,State/B,3721.847521,3776.385416,3476.735631,3451.70058,3864.33247,4061.638464,3505.749867,3490.097723,4147.01437,8,24Step
57,State/B,3819.755367,3947.807394,3604.552697,3532.871913,3933.444483,4175.750529,3629.309699,3561.555777,4342.727842,9,24Step
58,State/B,4761.128922,4984.896723,4219.649268,4182.32185,4651.883861,4847.375366,4236.217618,4193.943093,5142.343235,10,24Step
59,State/B,4589.345106,4736.30952,4542.414457,4474.242867,4677.051734,4944.995717,4537.416804,4463.786738,5038.076915,11,24Step
60,State/B,4695.444123,4927.230234,4480.309395,4510.441665,4665.674816,4849.609134,4492.77204,4502.876313,5340.151278,12,24Step
61,State/B,10590.37397,10748.14501,10226.20756,10284.81247,10536.97515,10706.63685,10236.87158,10283.61385,11201.03352,13,24Step
62,State/B,3879.65845,4062.921718,5812.648679,5587.121333,3995.744822,4280.055833,5704.152038,5449.193184,4689.664308,14,24Step
63,State/B,4991.865947,5347.976709,4753.910982,4594.80138,5358.57536,5646.43248,4708.116969,4523.1423,5457.522218,15,24Step
64,State/B,5769.020679,6196.004386,4323.022903,4398.758054,5002.784695,5237.563797,4463.492018,4519.841831,5291.015661,16,24Step
65,State/B,3876.480279,4082.826083,3482.133554,3585.312313,4034.524923,4385.047215,3504.640951,3628.992195,4268.26616,17,24Step
66,State/B,3779.173979,3945.795909,3273.009525,3306.310798,3892.435733,4215.659769,3301.995389,3349.842395,4103.019168,18,24Step
67,State/B,4089.876355,4201.223182,3673.300483,3753.953489,4355.97405,4779.218339,3686.788559,3779.348846,4904.525878,19,24Step
68,State/B,3807.854388,3974.305432,3482.671439,3467.388911,3878.183156,4132.670791,3461.442552,3464.719552,4000.422405,20,24Step
69,State/B,3831.315008,4029.31572,3613.550306,3549.074828,3950.627189,4246.781689,3609.565261,3557.801617,4132.168965,21,24Step
