,Series,ETS.unweighted ,ARIMA.unweighted ,OLS.unweighted ,ETS.weighted ,ARIMA.weighted ,OLS.weighted ,Actual,date,ForecastInterval
1,Total,45152.50264,44966.74784,44513.71273,45158.11688,44677.97675,44838.1716,44072.73924,1,24Step
2,Total,19733.50384,18593.03415,18759.46384,20622.9818,20921.93161,19050.54436,19930.74937,2,24Step
3,Total,22315.24423,22064.29518,21629.63007,23747.72423,24044.2199,21875.79178,24987.14802,3,24Step
4,Total,27009.45373,26482.51979,26394.97396,27770.0001,27604.76361,26446.19412,27592.41231,4,24Step
5,Total,20895.20213,19708.97375,20113.9457,21898.3121,21599.49219,20427.13359,23848.81112,5,24Step
6,Total,20965.93621,20141.24223,20436.89959,21616.32036,21794.43238,20402.04973,21460.26996,6,24Step
7,Total,25559.07121,24327.44998,24865.36221,26417.92806,25443.392,25096.6505,26037.67736,7,24Step
8,Total,23030.56365,21655.56471,22279.59443,23954.28083,22988.14362,22548.83459,24002.54678,8,24Step
9,Total,24152.24394,22016.30732,23258.59375,24949.7673,23352.89801,23551.52514,24902.66091,9,24Step
10,Total,26930.66749,26019.70076,26474.1298,27693.29077,27498.04892,26652.24786,27184.06202,10,24Step
11,Total,22475.28547,21986.31797,22189.30403,23780.03028,24274.49659,22464.95568,26563.1426,11,24Step
12,Total,22747.42486,21808.59326,22484.73499,23963.09269,24005.19404,22565.40785,24982.02445,12,24Step
13,Total,45166.15951,44168.14347,44614.96866,45321.61548,44822.14166,44868.23682,45625.4878,13,24Step
14,Total,19744.22259,18193.52058,19184.77795,20755.5274,21409.8625,19438.71523,23227.92831,14,24Step
15,Total,22326.7123,21546.94684,21767.45934,23886.82845,24603.64055,22020.71422,25156.54883,15,24Step
16,Total,27021.26106,26140.08646,26555.26069,27913.49958,27854.55068,26724.32621,27581.72132,16,24Step
17,Total,20907.45531,19525.71389,20425.30325,22048.29387,22113.27873,20631.00383,24489.2219,17,24Step
18,Total,20979.07438,19835.92061,20631.28162,21776.41405,22331.69146,20829.44886,21772.99005,18,24Step
19,Total,25576.36066,24183.41579,25219.91565,26618.65311,25681.4661,25430.27461,28460.57475,19,24Step
20,Total,23046.54085,21524.62675,22610.66815,24140.28006,23645.37126,22857.05116,24100.44663,20,24Step
21,Total,24165.31071,21944.24865,23771.47339,25105.43337,23576.1676,23928.6347,24800.03376,21,24Step
