Series,date,ForecastInterval,Actual,OLS.rec,OLS.unrec,OLS.rec.matrix,OLS.unrec.matrix,Level
Total,1,1Step,44072.73924,45478.50843,45516.90759,45478.50843,45516.90759,level0
Total,2,1Step,19930.74937,19663.16288,19653.76842,19663.16288,19653.76842,level0
Total,3,1Step,24987.14802,22407.26172,22395.53979,22407.26172,22395.53979,level0
Total,4,1Step,27592.41231,27572.84899,27596.87579,27572.84899,27596.87579,level0
Total,5,1Step,23848.81112,20994.73949,21000.93069,20994.73949,21000.93069,level0
Total,6,1Step,21460.26996,21539.14945,21512.32693,21539.14945,21512.32693,level0
Total,7,1Step,26037.67736,26927.45366,27001.24924,26927.45366,27001.24924,level0
Total,8,1Step,24002.54678,24200.27623,24259.7383,24200.27623,24259.7383,level0
Total,9,1Step,24902.66091,24247.94769,24228.50592,24247.9477,24228.50592,level0
Total,10,1Step,27184.06202,27744.46987,27769.10167,27744.46986,27769.10167,level0
Total,11,1Step,26563.1426,23629.33656,23663.21035,23629.33656,23663.21035,level0
Total,12,1Step,24982.02445,23927.24014,23950.45073,23927.24014,23950.45073,level0
Total,13,1Step,45625.4878,46966.30186,47025.45231,46966.30186,47025.45231,level0
Total,14,1Step,23227.92831,21684.5105,21749.32081,21684.5105,21749.32081,level0
Total,15,1Step,25156.54883,23841.53545,23861.72458,23841.53545,23861.72458,level0
Total,16,1Step,27581.72132,29311.07132,29386.9713,29311.07132,29386.9713,level0
Total,17,1Step,24489.2219,23270.21098,23347.86931,23270.21099,23347.86931,level0
Total,18,1Step,21772.99005,22258.15183,22268.90798,22258.15182,22268.90798,level0
Total,19,1Step,28460.57475,27815.79685,27894.20995,27815.79685,27894.20995,level0
Total,20,1Step,24100.44663,25657.41302,25755.12467,25657.41302,25755.12467,level0
Total,21,1Step,24800.03376,25504.10095,25550.79993,25504.10095,25550.79993,level0
Total,22,1Step,30039.10699,29016.51633,29073.77634,29016.51633,29073.77634,level0
Total,23,1Step,27320.91891,25199.1549,25273.23292,25199.15489,25273.23292,level0
Total,24,1Step,24604.31077,25222.17817,25254.61024,25222.17817,25254.61024,level0
State/A,1,1Step,14467.89904,15392.75918,15283.34214,15392.75918,15283.34214,level1
State/A,2,1Step,5907.67563,6022.822981,6003.901376,6022.822981,6003.901376,level1
State/A,3,1Step,7752.326874,6695.444918,6643.035748,6695.444918,6643.035748,level1
State/A,4,1Step,8672.241199,8706.685438,8685.662886,8706.685439,8685.662886,level1
State/A,5,1Step,7460.362089,6194.981933,6130.325058,6194.981933,6130.325058,level1
State/A,6,1Step,6308.432065,5971.504425,5898.418726,5971.504424,5898.418726,level1
State/A,7,1Step,6961.167472,7883.26037,7731.348729,7883.260371,7731.348729,level1
State/A,8,1Step,7128.244522,6785.604165,6737.953954,6785.604164,6737.953954,level1
State/A,9,1Step,7142.632359,6856.007322,6858.582764,6856.007323,6858.582764,level1
State/A,10,1Step,8088.210826,8516.136789,8436.810265,8516.136789,8436.810265,level1
State/A,11,1Step,8871.980669,6728.069616,6653.869754,6728.069616,6653.869754,level1
State/A,12,1Step,7166.123756,7418.421705,7234.295542,7418.421705,7234.295542,level1
State/A,13,1Step,14631.32155,15852.41897,15812.97023,15852.41897,15812.97023,level1
State/A,14,1Step,6602.415835,6722.76093,6724.799086,6722.760929,6724.799086,level1
State/A,15,1Step,7909.280144,7046.944057,7013.031376,7046.944057,7013.031376,level1
State/A,16,1Step,8873.892082,9111.008498,9038.785005,9111.008498,9038.785005,level1
State/A,17,1Step,7953.405786,6669.493453,6563.626865,6669.493454,6563.626865,level1
State/A,18,1Step,6746.636702,6181.748076,6172.533282,6181.748076,6172.533282,level1
State/A,19,1Step,8050.377621,8070.280923,7940.978589,8070.280922,7940.978589,level1
State/A,20,1Step,7227.612582,7354.651184,7293.974691,7354.651184,7293.974691,level1
State/A,21,1Step,6778.363226,7457.173501,7515.722564,7457.173501,7515.722564,level1
State/A,22,1Step,8592.99825,8903.154605,8887.254649,8903.154605,8887.254649,level1
State/A,23,1Step,8663.24096,7509.489796,7373.836657,7509.489796,7373.836657,level1
State/A,24,1Step,7953.659899,7776.348732,7647.199436,7776.348732,7647.199436,level1
State/B,1,1Step,9989.135051,10783.9789,10683.1593,10783.9789,10683.1593,level1
State/B,2,1Step,4686.36547,4232.971816,4229.800606,4232.971816,4229.800606,level1
State/B,3,1Step,5659.95244,5058.026949,5006.407862,5058.026949,5006.407862,level1
State/B,4,1Step,5483.70047,5733.556032,5722.475937,5733.556033,5722.475937,level1
State/B,5,1Step,4732.835635,4308.208448,4246.851301,4308.208448,4246.851301,level1
State/B,6,1Step,3826.337428,4384.200277,4321.082178,4384.200276,4321.082178,level1
State/B,7,1Step,4512.809467,4698.097025,4524.363772,4698.097025,4524.363772,level1
State/B,8,1Step,4147.01437,4239.722754,4180.745684,4239.722754,4180.745684,level1
State/B,9,1Step,4342.727842,4132.402498,4130.043913,4132.402499,4130.043913,level1
State/B,10,1Step,5142.343235,4830.17179,4745.824912,4830.171789,4745.824912,level1
State/B,11,1Step,5038.076915,5164.193689,5097.580899,5164.193689,5097.580899,level1
State/B,12,1Step,5340.151278,4924.414069,4742.380213,4924.414069,4742.380213,level1
State/B,13,1Step,11201.03352,10928.52635,10873.58111,10928.52635,10873.58111,level1
State/B,14,1Step,4689.664308,4655.932776,4628.360954,4655.932776,4628.360954,level1
State/B,15,1Step,5457.522218,5389.003305,5351.329515,5389.003306,5351.329515,level1
State/B,16,1Step,5291.015661,5955.263353,5862.019337,5955.263353,5862.019337,level1
State/B,17,1Step,4268.26616,4545.10527,4409.057333,4545.10527,4409.057333,level1
State/B,18,1Step,4103.019168,4283.689284,4273.525068,4283.689284,4273.525068,level1
State/B,19,1Step,4904.525878,4882.893148,4749.86244,4882.893148,4749.86244,level1
State/B,20,1Step,4000.422405,4365.985837,4271.698583,4365.985837,4271.698583,level1
State/B,21,1Step,4132.168965,4373.164405,4406.531824,4373.164405,4406.531824,level1
State/B,22,1Step,5719.297913,4966.197184,4939.384294,4966.197184,4939.384294,level1
State/B,23,1Step,5165.403172,5381.981308,5245.495644,5381.981308,5245.495644,level1
State/B,24,1Step,5000.483537,5203.664443,5087.442647,5203.664443,5087.442647,level1
State/C,1,1Step,8928.542621,9623.327707,9487.96738,9623.327708,9487.96738,level1
State/C,2,1Step,4187.357323,4430.718355,4420.275975,4430.718355,4420.275975,level1
State/C,3,1Step,5186.080217,4609.22172,4515.800502,4609.22172,4515.800502,level1
State/C,4,1Step,6353.890768,6236.693516,6207.834771,6236.693517,6207.834771,level1
State/C,5,1Step,6314.344368,5057.795105,4970.560826,5057.795105,4970.560826,level1
State/C,6,1Step,5692.234414,5437.653891,5338.673421,5437.653891,5338.673421,level1
State/C,7,1Step,8196.378481,7348.672657,7167.056184,7348.672657,7167.056184,level1
State/C,8,1Step,6666.976942,7115.669541,7029.585021,7115.669541,7029.585021,level1
State/C,9,1Step,7646.475258,7486.243853,7451.986469,7486.243853,7451.986469,level1
State/C,10,1Step,6636.808118,7332.719097,7216.742461,7332.719097,7216.742461,level1
State/C,11,1Step,5937.752456,5789.311513,5693.763898,5789.311512,5693.763898,level1
State/C,12,1Step,5621.323498,5235.200759,5015.24227,5235.200759,5015.24227,level1
