mobileauszhGen20,mobileauszhGen19,mobileauszhPho21,mobileauszhGen31,mobileauszhGen34,mobileauszhGen53,mobileauszhGen58,mobileauszhGen60,mobileauszhGen64,mobileauszhGen66,mobileauszhGen75,mobileauszhGen77,mobileauszhGen89,mobileauszhVid93,mobilewuszhPho03,mobilewuszhGen20,mobilewuszhGen19,mobilewuszhPho21,mobilewuszhGen25,mobilewuszhLif30,mobilewuszhGen31,mobilewuszhPho33,mobilewuszhGen34,mobilewuszhGen36,mobilewuszhLif38,mobilewuszhGen39,mobilewuszhBlo40,mobilewuszhGen47,mobilewuszhGen53,mobilewuszhLif55,mobilewuszhBlo56,mobilewuszhGen58,mobilewuszhGen60,mobilewuszhGen64,mobilewuszhGen66,mobilewuszhLif69,mobilewuszhGen75,mobilewuszhGen77,mobilewuszhGen83,mobilewuszhGen89,mobilewuszhBlo90,mobilewuszhVid93,mobilewuszhGam94,mobilewspzhPho03,mobilewspzhGen20,mobilewspzhGen19,mobilewspzhPho21,mobilewspzhGen25,mobilewspzhLif30,mobilewspzhGen31,mobilewspzhPho33,mobilewspzhGen34,mobilewspzhGen36,mobilewspzhLif38,mobilewspzhGen39,mobilewspzhBlo40,mobilewspzhGen47,mobilewspzhGen53,mobilewspzhLif55,mobilewspzhBlo56,mobilewspzhGen58,mobilewspzhGen60,mobilewspzhGen64,mobilewspzhGen66,mobilewspzhLif69,mobilewspzhGen75,mobilewspzhGen77,mobilewspzhGen83,mobilewspzhGen89,mobilewspzhBlo90,mobilewspzhVid93,mobilewspzhGam94
0.372033621,13.07725301,0.555995572,1.17227467,5.028497225,0.754269344,1.566770427,1.144390629,1.075944113,1.265448905,5.751418983,7.56446778,3.293471358,22.54472421,1.647243814,11.34918412,392.1411943,23.05478126,1.642700909,1.641491662,25.55069066,4.614973784,310.2398425,22.50361512,1.04170333,3.647997274,0.299908361,9.662989909,33.46947825,1.205976887,2.136516451,13.66877377,44.95660844,32.49601762,120.9408158,11.09505462,97.98062773,158.6976628,9.705839245,90.71616301,15.32408534,541.9379809,3.960899338,0.478765197,0.884075145,8.375334712,1.372361972,0.907753048,0.705549234,1.391468655,0.876889189,4.493424031,1.919280944,0.781987612,0.618032011,0.602687648,0.862692931,1.855938479,0.841873222,1.840870741,1.276752214,2.215114877,4.485037753,1.859569893,1.458915469,3.059319255,6.303860268,1.000344365,4.50897973,0.308608193,8.555282421,0.797305539
0.530638221,14.78897364,0.624101655,1.298710855,5.314079989,0.98133067,1.677238176,1.275570593,1.167914478,1.370370946,5.972271875,7.936736415,3.331303639,25.38393412,1.734661067,11.81622266,403.2053327,25.58503905,4.27472995,1.616584568,29.03390924,4.78091384,310.2122464,17.79410142,1.02741384,3.770851353,0.483765551,9.753310449,32.39455107,1.192936536,2.65465842,14.82505796,36.19933742,32.19741482,130.6007908,10.82665473,104.7788081,179.6427001,9.910184991,93.55138367,14.99704138,612.2872604,4.007306363,0.478759444,0.900405204,9.007768488,1.375461422,0.964060327,0.649195191,1.420138459,0.868460943,5.323097941,1.967366255,1.183348885,0.640173929,0.739315551,0.89059361,1.801841366,0.760555048,1.864923205,1.363350423,2.260163416,4.108810857,1.952797275,1.471509243,3.144835789,6.715268278,1.036413651,3.861973292,0.527015045,6.601958156,0.75537177
0.476358596,17.06154577,0.63408566,1.350584961,5.640531754,0.919844741,1.67808165,1.325972882,1.177245104,1.576054655,6.069988709,8.360252254,3.264457695,26.41976333,1.747349257,11.52692874,379.5590574,26.34059328,4.94360547,1.732885556,28.09572911,4.870207479,323.2367935,16.0809627,1.095157898,4.036902133,0.624993908,9.28770299,31.92358617,1.245255632,3.069880965,15.32616889,29.81577231,31.84029571,133.2442611,11.49977525,114.7246994,211.4519368,10.17580949,92.37364863,18.9280759,629.9968601,4.054525199,0.449688731,0.851899716,7.961926311,1.321243056,0.911702823,0.627309775,1.337987578,0.810106437,4.64541178,1.893103213,0.727000229,0.623088942,0.916876365,0.861807779,2.220724405,0.751682601,1.963407848,1.324616476,2.212331447,3.739857005,1.915366855,1.523360172,3.074091382,6.838963769,1.006971821,3.620405689,0.67272578,7.101279027,0.707541471
0.515029342,12.89649092,0.592422185,1.274591827,5.540408313,0.770750728,1.641607,1.245161823,1.092013428,1.380708135,6.036530624,8.263365888,3.063291966,23.27023935,1.743515855,11.56931099,355.7739254,24.19028108,4.606436287,1.668266341,25.29247918,4.707488185,272.6198151,16.66193781,0.999451034,4.047807772,0.521576363,9.851884123,36.56450228,1.167182014,2.827799458,14.70440827,20.42810986,31.51603932,105.1932361,11.94576101,103.8075078,220.0874852,9.914388481,91.3660224,12.83786725,496.8669042,3.92430261,0.44678276,0.831085452,8.847089572,1.335365622,0.912515174,0.626334728,1.347187138,0.799437155,3.956639579,1.899511144,0.726740319,0.625521885,0.875032722,0.862339689,2.205173886,0.726009291,1.827571383,1.314430073,2.146118532,3.166712703,1.918114249,1.468830558,3.061555624,6.63989652,0.648960606,2.572542338,0.610900559,6.581891373,0.717146474
0.549040307,13.3012264,0.626983864,1.318249469,5.510082677,0.726648638,1.697845872,1.28751242,1.176464707,1.372385777,6.121512856,7.96823864,3.075536596,24.34186375,1.792955136,12.08380794,354.5914672,25.74808139,3.930204867,1.649056414,22.40573862,4.768888264,256.530817,18.86908034,0.998837755,4.215014466,0.476249911,8.450159003,41.66273209,1.16982498,2.692377093,14.97689893,26.76292227,31.3583815,102.0331515,11.11224004,100.7749032,219.3772597,9.994064306,94.37356665,11.66371558,485.5731255,3.922065805,0.420719021,0.785785494,7.8306845,1.294480456,0.886805809,0.575762469,1.317202552,0.748242176,3.950359171,1.833027296,0.6529116,0.626615312,0.774711176,0.840779247,2.022960705,0.65773383,1.558304257,1.279683304,2.002637086,2.357014835,1.884683877,1.353908943,2.991661055,6.529149943,0.982992081,2.403534352,0.443355255,6.083676903,0.663905635
0.626251694,14.75507093,0.904060347,1.443019843,5.836614948,0.958474835,1.827082179,1.412930751,1.298137485,2.262380365,6.368494061,8.369877446,3.289401217,26.12727765,2.095866011,12.31195032,338.6858493,24.14760744,6.142894921,1.801889005,25.16916362,5.179129922,243.6379879,18.69810599,1.141605892,4.289669494,0.574842089,9.252350139,43.74135245,1.290242477,2.984008456,15.6997344,26.63103739,32.93051147,73.32012012,11.35339538,101.8517455,198.7210285,10.30401129,95.78232277,9.715732093,495.0405953,4.212558901,0.425405972,0.715967924,7.242329902,1.30134741,0.841515741,0.531868906,1.240692548,0.760581529,3.678941975,1.742751142,0.606050822,0.589950658,0.754853689,0.797300964,1.830925918,0.596201218,1.493163157,1.250583984,1.887198186,2.933587227,1.815018204,1.37462936,2.866551246,6.152934704,0.926273119,1.600009848,0.434672759,4.720808941,0.626931785
0.457177608,13.87737547,0.684385395,1.166953792,5.16222987,0.655058314,1.530928824,1.131119223,1.112290196,2.287858735,6.295446941,7.640140084,2.855695005,24.83224848,1.733391933,11.42337757,361.5279987,20.0389441,7.332001182,1.662257191,30.0237742,4.549857943,272.7323508,14.88418997,0.993138268,3.890434887,0.466611478,13.29828183,39.76756263,1.18140036,2.872725826,15.08412153,24.845128,30.64435697,104.8690865,10.84623777,96.67230053,181.8798385,9.777162063,92.17784583,8.715731528,466.5824324,3.875129219,0.364411918,0.682776855,7.512502276,1.207921904,0.777061411,0.577046871,1.189932685,0.639407345,3.810231526,1.639430958,0.653873681,0.543633145,0.769046121,0.736095898,1.503395012,0.650710136,1.415406827,1.202327546,1.840832835,2.03416429,1.69067498,1.267712298,2.709263677,5.781824751,0.760568277,1.607009154,0.544694968,4.88846571,0.646334195
0.458695308,13.03666062,0.642837915,1.151539225,5.094455653,0.673754914,1.528298582,1.122961114,1.060069194,1.972851721,6.050915368,7.811619994,2.887214562,21.90021377,1.643180262,10.54023307,367.8409169,21.61608412,5.505370768,1.809078815,25.82079442,4.430701989,239.5240184,15.80695085,0.979525847,3.711072528,0.562168065,11.68453077,43.08326774,1.165649987,3.127098818,15.23452715,32.26759639,30.33373945,77.56375105,10.94348254,95.50785242,169.7863823,9.76991726,91.30841246,7.408238522,460.3805283,3.896227446,0.34271362,0.716428138,7.617611015,1.174080813,0.778556869,0.579502751,1.175713228,0.597628206,4.235590032,1.65675221,0.659018958,0.54640353,0.911037462,0.740148446,1.702089844,0.666001089,1.374628711,1.209758364,1.941359526,1.987729816,1.672011831,1.244778368,2.721011186,5.59852582,0.87083722,1.710399337,0.706974323,5.629779897,0.660966186
0.524645508,14.73859585,0.75475938,1.248860591,5.283888844,0.672980475,1.610443038,1.223315605,1.125074798,2.284090817,6.345463707,8.156339322,2.928696568,24.53667643,1.815542988,10.44359274,385.07965,24.95603827,6.267997756,1.706950707,28.62706109,4.747072093,225.9517847,15.72035117,1.090341514,3.772157519,0.625467803,10.0363796,42.92323446,1.269641131,3.308633976,15.42914522,35.60644558,30.93285389,109.1912784,10.99923814,103.2393861,184.6245099,10.0199568,92.45357994,7.443826854,506.2042715,4.059411301,0.400771159,0.764986616,7.03469164,1.268005377,0.82503448,0.612724196,1.221298448,0.713471967,3.672555567,1.677912809,0.708822795,0.576664113,0.933120789,0.774907653,1.79116717,0.735537065,1.252408222,1.212859741,2.050429311,1.292736181,1.844301006,1.37426376,2.820715906,5.627533531,0.916183319,2.16915911,0.762207473,6.129368689,0.681213534
0.544739252,17.04343277,0.759881133,1.303832197,5.410345382,0.642248594,1.751974097,1.276312497,1.245385867,2.501743979,6.307174415,8.062905845,2.951623627,23.65439452,1.805525861,10.81865455,401.8507558,25.5485572,3.745644644,1.817044281,27.44554906,4.756841997,263.625499,17.74408006,1.024403977,3.762946442,0.710200304,7.791543885,41.49106115,1.194438894,3.535698506,15.36745544,26.58114931,31.24454553,86.86474338,11.3125698,109.6155499,193.6193196,10.39737154,95.29349612,9.292288786,516.875838,3.962603262,0.397004693,0.777475729,8.697783435,1.251067265,0.850585684,0.569261295,1.261116376,0.705726428,4.002055578,1.686564772,0.644796489,0.597653203,1.002859479,0.804333931,1.858610092,0.708441653,1.158088601,1.290042967,1.997917017,2.423426482,1.825634223,1.280688463,2.902611775,5.52906367,0.947336104,2.79382136,0.879244409,6.648289891,0.646843796
