desktopspdeReu01,desktopspdePho03,desktopspdeGen08,desktopspdeTra15,desktopspdePho16,desktopspdeGen19,desktopspdePho21,desktopspdeGen25,desktopspdeGen31,desktopspdePho33,desktopspdeGen34,desktopspdeGen36,desktopspdeLif38,desktopspdeGen39,desktopspdeBlo40,desktopspdeReu45,desktopspdeGen47,desktopspdeGen53,desktopspdePho54,desktopspdeGen58,desktopspdeLif59,desktopspdeGen60,desktopspdePho63,desktopspdeGen64,desktopspdeGen66,desktopspdeLif69,desktopspdeGen70,desktopspdeGen71,desktopspdeGen75,desktopspdeGen77,desktopspdeBus82,desktopspdeGen83,desktopspdeGen88,desktopspdeGen89,desktopspdeBlo90,desktopspdeGen92,desktopspdeVid93,desktopspdeGam94,desktopspenReu01,desktopspenPho02,desktopspenPho03,desktopspenLif04,desktopspenReu05,desktopspenGen06,desktopspenLif07,desktopspenGen08,desktopspenLif09,desktopspenLif10,desktopspenLif11,desktopspenLif12,desktopspenGam13,desktopspenReu14,desktopspenTra15,desktopspenPho16,desktopspenLif17,desktopspenLif18,desktopspenGen20,desktopspenGen19,desktopspenPho21,desktopspenLif22,desktopspenPho23,desktopspenPho24,desktopspenGen25,desktopspenVid26,desktopspenLif27,desktopspenGen28,desktopspenLif29,desktopspenLif30,desktopspenGen31,desktopspenGam32,desktopspenPho33,desktopspenGen34,desktopspenLif35,desktopspenGen36,desktopspenGen37,desktopspenLif38,desktopspenGen39,desktopspenBlo40,desktopspenGen41,desktopspenGen42,desktopspenLif43,desktopspenGam44,desktopspenReu45,desktopspenLif46,desktopspenGen47,desktopspenLif48,desktopspenGen49,desktopspenPho50,desktopspenPho51,desktopspenGen52,desktopspenGen53,desktopspenPho54,desktopspenLif55,desktopspenBlo56,desktopspenGen57,desktopspenGen58,desktopspenLif59,desktopspenGen60,desktopspenLif61,desktopspenBus62,desktopspenPho63,desktopspenGen64,desktopspenGen65,desktopspenGen66,desktopspenPho67,desktopspenBus68,desktopspenLif69,desktopspenGen70,desktopspenGen71,desktopspenLif72,desktopspenVid73,desktopspenTra74,desktopspenGen75,desktopspenGen77,desktopspenGen78,desktopspenLif79,desktopspenPho80,desktopspenLif81,desktopspenBus82,desktopspenGen83,desktopspenVid84,desktopspenGen85,desktopspenTra86,desktopspenPho87,desktopspenGen88,desktopspenGen89,desktopspenBlo90,desktopspenBus91,desktopspenGen92,desktopspenVid93,desktopspenGam94,desktopspesReu01,desktopspesPho03,desktopspesGen08,desktopspesTra15,desktopspesPho16,desktopspesGen20,desktopspesGen19,desktopspesPho21,desktopspesPho24,desktopspesGen25,desktopspesLif30,desktopspesGen31,desktopspesGam32,desktopspesGen34,desktopspesGen36,desktopspesLif38,desktopspesGen39,desktopspesBlo40,desktopspesReu45,desktopspesGen47,desktopspesPho51,desktopspesGen53,desktopspesBlo56,desktopspesGen58,desktopspesGen60,desktopspesGen64,desktopspesGen66,desktopspesLif69,desktopspesGen70,desktopspesGen71,desktopspesGen75,desktopspesGen77,desktopspesBus82,desktopspesGen83,desktopspesGen88,desktopspesGen89,desktopspesVid93,desktopspesGam94,desktopspzhPho03,desktopspzhGen20,desktopspzhGen19,desktopspzhPho21,desktopspzhGen25,desktopspzhLif30,desktopspzhGen31,desktopspzhPho33,desktopspzhGen34,desktopspzhGen36,desktopspzhLif38,desktopspzhGen39,desktopspzhBlo40,desktopspzhGen47,desktopspzhGen53,desktopspzhLif55,desktopspzhBlo56,desktopspzhGen58,desktopspzhGen60,desktopspzhGen64,desktopspzhGen66,desktopspzhLif69,desktopspzhGen75,desktopspzhGen77,desktopspzhGen83,desktopspzhGen89,desktopspzhBlo90,desktopspzhVid93,desktopspzhGam94
2.238201103,3.040905348,5.650637099,2.87657498,0.880222132,41.01695927,19.06398911,4.856762226,11.07613296,3.080473081,24.34783678,2.35083684,4.294816944,9.255704023,1.376815886,2.825829625,7.830161716,11.73356004,3.904151409,6.699935665,2.859005361,5.05283977,1.079804624,19.20282912,28.41006303,3.942491974,1.925161904,2.16314167,8.573063589,19.51204862,2.727653891,10.07195146,7.899387471,20.59114977,1.595140394,1.468852003,33.93796886,3.275046646,33.5866395,14.2576654,25.89224599,22.30727224,32.20300115,10.74360974,4.763656721,41.97271788,8.140456559,14.80326297,7.781231107,5.344345765,4.108694652,17.58200567,20.30076536,17.11611988,6.962441108,6.525739042,100.5603707,825.8080891,99.98716347,20.59865703,16.53992003,7.183145415,35.60931729,36.32296141,45.1995107,4.550797008,15.73219657,41.77345247,70.88689478,13.37186193,27.24331469,392.6541102,4.693356767,223.0101286,5.542873791,64.68884235,96.46783221,68.11166643,20.97923723,14.71320346,15.08834058,8.784636045,13.53820115,2.314500077,47.49457432,8.655996394,22.83377874,19.866832,13.84165705,6.701856193,113.4848169,43.27936535,14.248967,11.81920356,9.456986441,47.15123477,17.79853752,347.6024172,8.813073306,5.892387973,17.66821691,298.6237191,4.122421971,71.21639637,12.52341007,14.60327073,44.5613405,12.33118307,31.20374864,38.83545624,7.33967535,3.758576141,90.6097239,512.590903,4.43016087,12.06309716,3.431907485,6.150544701,13.75924968,22.47032613,29.68623706,29.34246225,11.73094799,15.65964117,102.2442527,105.3303346,18.65681278,3.189557757,60.52609071,502.7064084,48.74679243,2.782620333,2.009081944,6.747518748,4.007110221,4.825540176,11.31502982,59.67003673,12.1102444,4.332285142,7.469995802,2.658425501,12.44475732,8.28231791,27.26363588,10.30880101,6.014234617,10.78700481,0.527633332,1.833028162,5.2326269,1.529554474,10.38680282,5.299253457,3.516578887,7.35103927,9.391926735,18.06757428,3.402669552,4.272209986,3.781720208,9.078969444,48.98200441,2.76537286,3.739316642,3.83424869,44.61142344,49.96123039,1.991719675,5.464510269,7.77895322,62.46637505,16.24181309,6.333776788,3.920119943,12.97316854,4.143144185,30.2087086,9.42778229,9.047647838,3.840076991,4.219101722,9.039154098,11.6744914,5.169495607,3.466619768,10.92847597,12.61567721,21.49328129,11.82161014,6.548730386,16.68445671,35.20816339,7.526846179,13.10911374,4.712396225,80.96518475,5.081902841
4.480756248,4.700121932,5.564707882,3.161851677,3.173349203,38.64203368,17.90917962,7.179181348,11.89335077,4.280046114,20.51243121,5.270757697,7.359573838,4.427773068,3.672156528,4.812308803,7.771370567,11.14126347,3.964810589,7.779010797,4.96239194,4.62049929,3.148658958,17.90375396,13.48092899,6.413123531,3.196689549,3.621582206,8.426741686,21.80806486,2.599503003,10.03061603,8.354759936,21.11737167,3.286823689,1.451898971,44.76726987,5.453281205,25.85724988,14.52239015,27.7659249,10.56741979,34.33934135,10.50392516,11.71254409,35.28044897,7.560197077,8.688720557,8.779832719,4.98199147,4.163517257,13.50513328,15.07082086,21.43914747,8.477565444,8.380393491,123.930267,869.5269152,87.15387387,16.73019319,16.37707048,7.329418285,34.99481424,25.93979113,29.01872571,7.01796418,23.91551508,37.88340313,72.73197709,19.21558322,27.98878796,381.2248444,7.373062646,27.37703836,5.565232483,47.37241282,89.52116342,64.66233792,16.54170181,19.13756971,14.08080014,11.19821387,14.22139599,4.668168418,35.8008706,8.226584541,22.4159387,14.36287991,14.70119422,6.834919073,110.7232189,15.75109851,12.4745589,14.50828439,8.722058417,42.77457471,21.95509292,210.6300316,9.831463168,5.854619118,18.30398121,284.2537183,6.225026486,83.11457645,13.26793386,10.58602139,99.48822092,13.40719119,40.13064567,38.99466088,7.144043509,5.737507389,81.98336256,566.575027,4.57256861,11.51479598,5.738231816,5.397838444,11.54506557,33.3431932,27.67038407,28.87361587,5.376271895,20.25175543,98.31656411,105.3162106,10.8063751,5.452138752,49.27297901,472.1787177,30.92927961,2.679124087,2.125712517,6.858692038,4.348011609,5.008526356,11.31164947,58.30926731,10.13099459,2.88765185,6.989440095,2.238870483,14.928924,8.225350506,29.1393211,10.10117702,6.03463287,11.00026717,1.520082399,1.688351775,5.884312455,1.490276646,10.40325325,5.554337609,3.374316088,7.200639412,10.29545448,17.83463602,2.814251595,4.138905363,3.505073611,8.532688445,51.24712139,2.69358591,3.692099305,3.829338769,32.32548533,52.87673023,2.013362493,5.62919249,8.683327917,55.98685597,16.1539864,6.25459612,3.460341617,12.70165767,4.425211645,20.00940019,8.599057133,7.338141105,3.646329607,4.514648603,8.69020071,8.100475464,3.998622691,3.758819207,10.88032438,12.44876649,17.13459059,11.32345288,6.041085742,16.01861824,34.52439132,7.099865948,21.62009079,4.893815063,75.96293116,4.967410936
1.866384526,3.109209087,5.635504725,3.221651841,0.566674041,32.35752437,21.44050712,5.321458173,8.059737716,3.48920748,23.41300168,3.155837832,5.252066249,4.693353625,1.702412816,2.882683383,7.866995254,6.166634397,3.873931701,5.537900371,2.719862921,5.473897641,1.345236869,14.68444556,16.98719488,5.28279553,1.285557614,1.997907518,8.488801474,23.4112913,2.237933374,9.956489606,7.601875823,20.89386343,1.258127833,1.480841755,22.11601511,3.817056665,18.18828587,13.91854995,22.41026567,23.05731891,37.95616322,11.46226426,7.974566715,34.86200874,8.216066345,6.636178147,6.302347994,5.518306399,4.471039246,7.955739827,10.88649202,31.00214957,6.807242496,6.538766344,94.15988008,1510.743692,81.12820547,23.59847976,16.24162538,7.189989728,35.00004855,25.16975636,22.29737926,4.828654726,18.061809,37.84369285,74.02405902,21.38446571,31.1526979,613.8371272,5.387302462,49.66148799,5.608370983,35.19315747,79.48902516,38.89326619,17.73185311,14.44507313,14.93523709,12.03423488,13.30163863,2.73661471,135.4583681,8.017978237,22.06729179,11.73060277,12.4910255,7.111711479,95.74771537,11.69296148,9.701639836,12.68902696,8.179911915,54.09322048,18.66402956,167.8693542,6.115466877,5.59046838,18.752466,312.5188895,4.340672753,76.50215627,12.32650142,8.800669209,44.17077405,15.02259352,22.02197444,35.64927553,7.343135875,4.1513637,70.94481376,537.9314075,4.807831203,12.03365869,5.148890498,6.156652964,9.887968208,21.02896512,21.25132592,28.76059709,9.137891291,20.95409652,102.374652,78.96945191,6.5882798,3.378589466,50.83352374,485.6582573,42.35998375,2.549781679,2.001722766,6.275058303,3.761602782,4.635389983,10.48224979,55.13228008,7.551376439,2.222698714,6.827761458,2.43624472,15.98839267,7.820928968,31.05600122,9.539270289,5.841408981,10.57399321,0.007317689,1.626525822,7.773955835,1.238118539,8.817590382,5.250183184,3.309399844,6.556566801,7.826132328,16.27088249,2.890728441,3.627092032,2.98344823,21.5613078,43.85158315,2.446770174,3.137107052,3.548134842,32.9217076,18.00648335,1.940905072,5.502537576,8.710559644,49.58154976,16.67445171,6.686705759,4.009063243,14.25067075,4.521611349,26.38591885,9.603111466,8.842073137,3.914869574,4.367368885,8.988380457,10.97823272,4.376938743,3.595985924,9.436938392,13.07180164,20.56088056,12.3000611,6.711765258,17.52163485,34.52180663,7.968320335,15.90942499,4.720603725,105.3420041,5.22724833
2.123879175,2.662440249,4.972908984,3.079353534,1.400604738,27.65940652,18.89497459,4.81401494,13.92031999,3.002953489,27.85566718,2.564815371,3.864159497,4.419961303,1.83601982,2.422730066,7.179354239,4.931411058,3.648567814,4.936475136,3.014399804,4.585707921,1.003905351,14.33693324,15.10306169,6.091304679,1.138401472,2.151426685,8.037700364,35.89628905,2.002171589,9.138087656,5.555626877,18.80496083,1.385079979,1.261963029,30.85162245,3.522259091,29.28332379,13.08193167,30.06196788,25.08453324,48.63862095,12.88404049,6.177863284,39.6461049,8.383255616,9.841495274,7.020301207,5.777365159,4.098447341,9.865605405,21.08020246,50.4688072,7.264780888,7.368712397,96.85573567,3774.660014,86.79516672,17.88975094,16.25783313,7.08382495,38.51007187,25.78317319,29.65237721,4.015425527,28.01300641,38.12913925,97.38741849,16.32115928,27.62339354,339.5045316,6.007082494,93.7706183,5.311925591,32.66856425,75.14355901,37.00225397,14.0956179,13.13820631,14.63969898,7.385841109,15.30810472,2.872056219,40.70560105,13.41069202,20.38749178,14.79774278,16.59454262,5.610729709,91.35459139,14.3942699,14.03646629,13.96848188,8.230409077,54.68767315,20.3912307,130.3376618,6.541377133,5.557413079,19.6304799,344.9500906,3.864401409,77.9287446,11.58102507,9.602801297,59.38789354,19.47272039,21.50861947,34.71408777,6.382558818,4.765088791,101.2223414,653.1932298,4.175520243,13.01731887,3.537885786,5.942315563,10.937657,36.19206066,30.29756083,22.70026867,7.814990456,20.00230171,101.5156819,129.5596162,10.37753132,3.60326284,67.1489329,432.7306733,36.35021789,2.481852382,2.017701767,5.904696782,3.351697074,4.671422551,9.841613536,52.02626726,11.6992284,2.20778419,6.310414875,2.58324936,11.22036667,7.369803454,25.93483238,9.034117622,6.239937449,9.70026668,1.527692962,1.615605718,6.617830698,1.303336846,7.958863514,5.175966543,3.496982949,5.943712467,7.295410409,15.51745597,3.456387675,3.240072872,2.98095835,12.15228502,49.04183781,2.466129032,2.804762264,3.27363227,34.19225036,26.16624786,2.950190288,6.109909255,15.24872523,52.76944332,17.57871701,7.495477919,5.244939721,12.83172387,5.73926827,32.81326441,10.36170664,10.19940672,4.416836395,5.416166007,8.703483705,14.19143782,5.223138398,4.336183485,10.29647526,14.49410787,22.24335725,15.37777109,8.627206884,19.86792613,39.31664388,10.64949337,18.37761191,5.85680254,96.82772982,6.032090031
2.499003762,2.934544011,5.050620287,3.059355878,1.139169234,33.92656707,17.47315439,4.480958702,7.769339,2.318499009,26.4326712,3.504907178,5.204792691,7.867276457,1.982104908,2.72240916,7.399499563,8.080191037,3.557511232,4.338893111,2.62864999,4.645803254,1.145891139,21.97257742,22.9444548,4.711443521,1.352445192,1.777294188,8.075553028,24.45103272,1.998480764,8.926000542,4.907841687,18.73205032,1.512017438,1.33582752,30.51031113,2.886160312,25.233305,13.33368578,20.17638698,19.85291538,42.91021284,11.89305358,5.540052654,42.91857178,8.020607447,8.49183713,7.442932233,5.501380465,4.158244227,11.02709224,15.63097377,29.34094257,8.584174711,7.34804525,116.6501668,1655.006024,89.93422533,20.26503745,16.501396,7.289983814,54.60282215,28.49201617,19.79357159,6.407026225,18.0104206,38.10516277,115.6719575,19.79488981,39.28982935,619.6620238,4.367579303,37.93435554,5.780972761,36.05054227,366.2914932,53.03709954,15.9612892,20.80485274,14.1353677,10.59162061,19.20905208,2.090938466,64.06839718,8.40171647,20.96711734,13.93110989,22.69295496,8.072407492,123.796294,12.21375818,11.40833373,15.48100947,8.793758718,44.45999768,22.51788216,188.073699,24.03715095,5.818522935,19.64859247,422.8550236,5.480796396,77.14137217,13.22139061,9.472430917,78.82829343,18.81103957,35.89581806,46.68886476,10.20871253,5.02817621,117.3389109,700.5842197,5.112011471,12.34217049,4.074588254,5.558319048,13.28077448,41.54211395,40.43201032,27.88588897,6.52763027,19.97279687,101.3703108,142.8168116,17.2451288,3.306316698,95.09532986,430.0947094,33.62374172,2.3139172,1.9352479,6.757934806,3.424288863,4.678700457,11.00946151,54.51680687,8.078255542,4.381985351,6.133061665,2.167986061,10.38500239,6.450678198,27.7500026,9.627143459,5.723428798,10.67781947,3.663290259,1.46748173,7.87126243,1.359808435,10.85923734,5.044040732,3.615088825,6.388034095,8.98473321,16.69976294,3.006620591,3.173646728,3.054482536,9.995237127,49.95804787,2.481317364,3.357129092,3.72376249,78.73954355,39.1655454,2.825008209,5.273251513,8.239839322,47.49949845,16.06593689,6.51918477,3.806717241,19.98737437,4.460432941,25.22003763,8.4885718,10.39406289,4.116840486,4.687108054,7.545551904,13.08321066,4.068372162,3.874519451,8.990151135,12.38553026,34.98518079,11.46764103,6.76273056,17.53651328,36.06702582,7.241361197,13.08515389,5.198784756,74.92713937,4.700301418
1.383967218,2.263549004,4.704735557,3.221718578,0.871099901,39.54689427,15.23614127,4.502941667,7.995321021,2.541121772,31.21997829,3.00400788,3.631196221,6.841235341,1.148406135,2.338453613,7.183010312,4.317772516,3.611694543,4.541163431,2.696294428,4.097162619,1.362625701,18.83684714,18.33674032,5.065323142,1.384570493,1.661407007,8.00231419,20.01458209,1.517537994,8.975512065,6.472909863,18.01476411,1.399766892,1.26526663,27.98891676,3.674323682,25.02611484,13.30664035,26.99061676,17.963563,37.61192474,11.95812758,7.327018131,33.18562256,8.086892945,11.28906738,7.172228724,5.823469475,4.940361964,10.59092174,19.95190585,33.87513028,6.433688093,6.722944851,165.5120704,1494.259629,145.5363942,18.12558214,16.11465136,7.407255162,55.8117983,26.56512298,18.17302648,5.429964021,17.29119701,38.82908012,84.84522688,19.55727975,34.36134215,320.7912789,5.80416649,62.57080763,5.682343279,42.43816911,1057.808398,50.28106701,18.36102497,14.61982373,14.03872111,10.23963885,16.85222145,2.002953824,48.92783291,7.186054367,20.68295286,14.46554695,15.90702007,7.61569971,146.7429953,18.71418167,11.94617764,12.00745771,9.077789511,45.67470487,19.48700431,271.9070134,7.299695502,5.532952466,24.10019577,329.6478769,5.277121079,102.3912209,12.67421215,12.06582481,54.34555723,16.26590952,26.93083203,34.04601476,7.520082742,4.159768929,153.5217587,504.6402423,5.12761114,12.42737955,4.222665377,5.785180824,11.56567726,23.9744997,32.18553148,30.30428637,8.929511606,19.16880094,115.6821118,226.2245567,15.19338745,2.311978509,81.50553816,431.1060633,66.07519784,2.440905671,1.851774393,6.018064534,3.51038193,4.55654835,9.963415272,50.53578002,7.972898025,2.527752608,5.541304614,1.980900696,9.526439827,9.53522951,38.30308051,8.612337297,5.138152511,9.665897795,-0.970264433,1.814167008,5.976992012,1.367617897,11.09025044,4.157590183,3.475080086,5.492654577,4.175195064,14.96025947,2.786796003,3.042641017,2.637453129,8.200300893,43.38111103,2.176924317,2.720232717,3.332835193,20.49333238,39.05218778,2.202402743,5.526086108,9.81261514,49.82482241,16.50079198,6.802129308,4.144726273,11.68785007,4.865517877,22.92238671,8.541524215,10.41241374,4.269382207,4.446058081,8.02139185,9.535397713,4.345678143,3.766336287,9.601123775,13.36814504,19.59862571,12.73141423,6.717644535,18.2757851,38.57045795,8.323455452,12.31291839,4.882166321,70.99232953,5.458394505
1.377947727,1.841244047,4.392093277,2.979641173,0.603132789,46.21816259,33.12892974,4.712476479,8.037039382,1.981851387,25.18194429,2.963002345,3.465493431,2.314956942,1.166912232,2.19721912,6.918420346,3.538926108,3.269693756,3.53665985,2.065800435,4.028627982,0.857749549,12.33922194,12.31316663,5.088618811,1.679181194,1.753400184,8.089542307,48.38118156,1.568004874,8.718507696,5.915064953,16.85204798,1.219453116,1.179403678,44.33506139,1.92045918,35.57133708,12.85224803,16.75037756,15.54017096,35.57488451,10.99732862,10.56822885,39.50988381,7.88856988,9.021270996,7.96441271,5.723299225,4.099604607,13.33486305,14.35620554,37.81773726,6.388840681,6.41024766,170.6945964,1043.685759,93.54477807,26.46039595,15.34985287,6.969077715,49.47351421,33.86911863,18.57184974,5.944656251,13.04432846,36.46031935,115.5966757,15.44027512,33.55304654,359.5137321,5.16211628,71.14991139,5.500114002,46.50980911,673.3995997,26.01492171,15.47526315,14.83336137,13.87397373,11.46270202,11.26643872,2.200217694,49.68123176,7.144812045,19.59454998,13.54804455,14.16073959,6.694539862,147.2377454,11.25614229,19.18926784,12.12809948,11.86594955,71.89180517,17.03008695,170.1937669,6.252803147,5.5648394,19.98454393,276.8750958,4.523855135,187.8742578,12.06753055,9.497457239,60.91885382,20.04153767,34.19662889,30.1631091,7.235832784,4.060205698,93.54319899,399.5143412,4.78221849,11.85075791,3.532725499,5.648702141,12.83398274,21.24280029,78.68084692,38.76099015,4.549165396,18.43249433,117.7603265,237.7929174,16.81336064,2.739190574,107.0518825,436.3620627,46.87434822,2.386684357,1.951566707,7.24686732,3.888542333,4.767912034,11.44323824,55.20350659,9.667975276,1.169117657,5.832801172,2.477406596,11.75174275,10.01110214,55.04821785,9.572343711,5.674760972,11.26617444,3.848597475,1.813185081,8.353711677,1.42658092,13.32995556,4.161452609,3.469860418,5.801212893,11.16563674,17.12261372,3.581553067,2.975900368,3.06645624,15.04494408,59.28765811,2.539076791,3.565716663,3.602082533,56.10796138,32.38921967,2.513590802,5.337760719,9.217893223,59.53818234,15.77218113,6.41600827,3.832842509,11.73644827,4.49718965,22.84154959,8.430755494,8.719358637,4.262442668,4.140599411,7.577115085,8.542706198,4.154509603,3.502114451,9.139329396,12.92191424,19.66870851,11.57801021,6.419257908,17.59266159,39.05498947,7.324233444,12.94068377,4.625355158,90.06937815,4.918250169
2.440545092,2.486076239,4.343254168,2.765064354,0.754524524,28.17664713,18.00615074,3.801987156,7.721571737,4.422019433,21.94465031,2.517089472,3.159135068,7.173021936,1.146619637,3.014210151,7.090533266,7.584305025,3.513920159,4.489644791,2.204666761,3.5771678,0.948816781,20.78391497,25.64168973,4.613329566,1.457307336,1.912946437,8.337975317,19.7644947,2.719825889,8.338705031,6.818063824,16.78484022,1.404032236,1.231956884,33.20063614,1.399103744,36.76604044,12.99628689,18.87117249,26.02785285,38.77781727,9.58181222,6.535941323,39.68728307,7.909677646,12.74919252,7.930488662,6.484635802,4.152272598,14.97678044,23.54618802,20.10180239,6.461742687,6.299744319,170.7474004,570.9492625,96.56058422,17.65935621,15.35315687,7.110536018,39.75400184,32.59520221,12.45441279,4.349746837,9.505881597,36.17258931,75.69280381,16.42811707,25.30759249,257.9629764,4.375142918,111.7864176,5.447279333,53.28211223,245.2314426,48.53634372,18.83859792,15.07041022,14.00763049,12.05046743,14.4336581,2.349500419,72.72307116,12.10732014,19.52711761,19.32683637,13.48864826,6.297522389,107.2810827,33.59826513,12.62174422,11.45974924,11.18713969,41.45268972,18.52839615,283.5704738,8.467627476,6.273694172,20.19924122,297.2459327,4.503897774,88.88806279,13.62569891,14.26704883,50.7943404,12.29494061,38.0173753,25.113121,6.53724963,4.685515041,48.51798431,358.0266798,4.690456119,12.20797042,3.353215121,5.957355093,15.40166171,16.83000914,36.33797283,27.03542103,14.55676435,19.83418444,98.87051391,123.5144214,16.69685644,2.579357527,39.74682535,444.0269874,36.4834095,2.988319498,1.97548732,6.886276071,3.329324741,4.807233904,10.98281144,54.47087041,13.37990681,3.404351195,5.9675798,2.619708617,11.49572682,9.812796395,32.39601508,9.229677944,5.552365725,10.74075179,1.889878506,2.285097615,7.743716152,1.484099551,14.04131374,4.062281599,3.450596164,5.419503592,8.499212688,16.03845478,3.423072276,3.00742266,2.868125682,9.50264199,47.98792011,2.935432872,3.17877666,3.344089599,26.19354156,31.25628748,2.368855109,5.360817928,7.622000828,51.87220333,15.59482472,6.310917379,3.804933993,10.66967126,4.624302399,26.1853467,7.930822223,8.567739692,4.181429916,4.079527966,7.463432748,8.936383241,4.129145879,3.551421716,8.909221664,12.69267302,22.04173607,11.19695504,6.153621164,17.22676553,39.16353883,7.004592114,12.2337135,4.426244773,76.05519671,4.940563952
4.506725948,4.256290239,4.114640896,2.964925677,3.543885874,25.66463827,15.57958054,6.031641048,7.088557509,4.471134363,18.82948535,5.111539037,5.129572464,3.966506092,3.312329874,4.79227709,7.243393168,7.641267713,3.809922463,5.589360625,4.801903627,3.306424924,2.896422878,14.67547751,12.37624984,7.137705886,2.66107521,3.414558432,8.275800284,21.55361748,2.567506618,8.651348575,8.021201215,17.81518243,2.749724365,1.285392146,35.21234527,4.105763184,24.0230811,13.57210614,20.37611875,17.48834892,37.41319105,11.64668991,7.680089635,36.91072064,7.909815657,15.69993779,7.846843461,6.260366264,4.582780958,13.52256498,22.3096892,13.2881014,8.506315701,8.535646639,180.0064821,897.8535479,90.90753092,17.13506218,15.58822185,7.514588701,43.50135989,25.95695308,21.3376998,6.773927279,28.41471964,32.78064597,71.09127978,31.04383665,26.59172875,341.721378,7.46489564,31.07563758,5.512102538,29.73193845,129.7978656,59.99185005,15.84978919,17.63810646,13.84512345,8.974009104,17.85623545,4.738690181,45.06018894,8.331130621,19.69838235,14.14825061,14.62213643,6.589678936,101.2466269,14.49072962,11.70075265,13.34659316,10.20109693,32.5142126,21.23402265,123.6608778,9.627394557,6.114400994,22.24772239,1620.031224,6.326130527,99.24298894,12.75394333,11.09924208,122.0195598,13.07441437,74.78011167,34.44158505,6.596744614,7.05178422,96.96738178,399.8600399,4.805715883,12.79414191,5.821768478,6.637406576,14.33156719,26.33978159,24.63739935,23.78654388,6.900460855,20.62654608,94.22683627,154.9160761,10.24132122,5.33118565,32.0835467,521.0687698,40.19164798,2.628797801,2.12603232,6.880110631,3.472622596,5.008438168,10.89845938,52.733517,11.19814477,5.893169521,5.747775284,2.505435309,12.7467315,10.40792398,29.45299814,9.193590625,5.549569425,10.53496282,5.766419533,2.056397434,7.448305326,1.869584725,13.73024972,4.094170173,3.175529554,5.876285945,9.228599969,15.81561356,3.51179444,3.160667002,2.987590278,8.378695685,50.89135925,3.089676585,3.19978374,3.31831262,22.60272401,51.41301719,2.94023988,5.507763403,7.660217427,52.38259163,14.64571493,6.152803494,4.108082179,11.62958688,4.73199102,19.91857352,8.211943683,8.229227564,4.098375817,4.087477028,7.32504668,7.995584252,3.944744031,3.522700518,8.918281321,12.43653397,18.29616647,10.74635293,6.121147172,16.62300531,38.19403728,6.626579545,21.23198804,4.542708052,71.35565541,4.993597345
2.008743716,2.562072053,3.917434739,3.090711503,0.596540071,20.26671361,22.49516735,4.497976356,4.61535913,3.250444737,20.14942952,3.011208246,3.812077569,3.163641542,1.205337428,2.532390997,7.064295789,2.243648124,3.384085739,4.340771019,2.304861779,3.552179673,1.165469244,19.47403835,14.66791831,6.037169237,0.63219416,1.563317586,8.06814068,15.39594164,1.83369186,8.606020489,6.670875569,17.21721154,0.585607274,1.233566571,26.03336695,2.046071942,21.7115741,14.30569125,15.81168524,16.86184778,42.96458771,11.91028362,6.717277979,36.29507036,8.397939818,8.8709492,7.471923005,6.573252683,5.350865996,9.458063442,20.64270408,26.84533465,6.754830736,6.385109647,129.6797941,1219.338471,82.33016282,24.71840716,15.02122542,7.169315507,31.55953346,24.11270966,24.64322978,4.738793178,22.88792225,35.86837925,70.14125987,38.46913796,27.57039201,412.9548476,5.295405863,51.14073856,5.640807915,36.20701832,111.7034393,46.71148186,17.90876075,12.39050731,14.40398635,9.451128935,20.47427298,2.777296111,215.8577889,6.452035531,21.34231965,11.94169099,11.83042198,7.250121512,173.2894363,12.08450446,11.52875858,11.58945536,10.91758738,44.58372428,18.55800179,185.1308995,8.273059702,5.803845599,21.30532026,603.5976237,4.493621541,82.37595993,13.09289982,9.79560716,58.18619507,15.25656075,45.70219402,33.38226311,7.825677742,4.152584689,89.22881529,490.0670495,5.124524937,13.59304091,5.001658988,8.005894824,12.67931448,17.76190493,31.77625268,31.14678578,10.39450178,22.31628949,83.35690953,123.6994283,7.060552635,3.325766049,34.53042008,533.3233749,57.75224524,2.598379763,1.855034538,6.198286579,3.193792197,4.366089567,10.17737945,49.04098373,15.06542316,0.281748942,5.269863917,2.576408103,13.22450909,11.29347232,32.63840483,8.362267345,6.088564244,9.326396421,-1.690051486,1.995966469,6.21729289,1.902305927,11.61660589,3.625566365,3.103313471,5.954339658,11.8032878,14.27136718,3.434042475,3.042636709,2.709397602,18.83035482,35.57144375,2.562271924,2.674278572,3.12860997,25.21920459,29.21005114,3.570961152,5.373052917,8.814155406,57.45448106,13.97334621,6.536535363,4.458529385,13.50633738,4.532029199,20.5412777,8.627159478,8.692789018,3.978946399,3.961594972,7.704877097,9.535817675,4.210197737,3.476619797,9.115443678,12.74171028,19.19439239,12.08569821,7.940281884,18.67900011,40.68163286,7.770495884,15.82155915,4.332006994,98.38219579,5.693290101
