desktopusdeBlo40,desktopusdeBlo90,desktopusdeBus82,desktopusdeGam94,desktopusdeGen08,desktopusdeGen19,desktopusdeGen25,desktopusdeGen31,desktopusdeGen34,desktopusdeGen36,desktopusdeGen39,desktopusdeGen47,desktopusdeGen53,desktopusdeGen58,desktopusdeGen60,desktopusdeGen64,desktopusdeGen66,desktopusdeGen70,desktopusdeGen71,desktopusdeGen75,desktopusdeGen76,desktopusdeGen83,desktopusdeGen88,desktopusdeGen89,desktopusdeGen92,desktopusdeLif38,desktopusdeLif59,desktopusdeLif69,desktopusdePho03,desktopusdePho16,desktopusdePho21,desktopusdePho33,desktopusdePho54,desktopusdePho63,desktopusdeReu01,desktopusdeReu45,desktopusdeTra15,desktopusdeVid93,desktopusenBlo40,desktopusenBlo56,desktopusenBlo90,desktopusenBus62,desktopusenBus68,desktopusenBus82,desktopusenBus91,desktopusenGam13,desktopusenGam32,desktopusenGam44,desktopusenGam94,desktopusenGen06,desktopusenGen08,desktopusenGen19,desktopusenGen20,desktopusenGen25,desktopusenGen28,desktopusenGen31,desktopusenGen34,desktopusenGen36,desktopusenGen37,desktopusenGen39,desktopusenGen41,desktopusenGen42,desktopusenGen47,desktopusenGen49,desktopusenGen52,desktopusenGen53,desktopusenGen57,desktopusenGen58,desktopusenGen60,desktopusenGen64,desktopusenGen65,desktopusenGen66,desktopusenGen70,desktopusenGen71,desktopusenGen75,desktopusenGen76,desktopusenGen78,desktopusenGen83,desktopusenGen85,desktopusenGen88,desktopusenGen89,desktopusenGen92,desktopusenLif04,desktopusenLif07,desktopusenLif09,desktopusenLif10,desktopusenLif11,desktopusenLif12,desktopusenLif17,desktopusenLif18,desktopusenLif22,desktopusenLif27,desktopusenLif29,desktopusenLif30,desktopusenLif35,desktopusenLif38,desktopusenLif43,desktopusenLif46,desktopusenLif48,desktopusenLif55,desktopusenLif59,desktopusenLif61,desktopusenLif69,desktopusenLif72,desktopusenLif79,desktopusenLif81,desktopusenPho02,desktopusenPho03,desktopusenPho16,desktopusenPho21,desktopusenPho23,desktopusenPho24,desktopusenPho33,desktopusenPho50,desktopusenPho51,desktopusenPho54,desktopusenPho63,desktopusenPho67,desktopusenPho80,desktopusenPho87,desktopusenReu01,desktopusenReu05,desktopusenReu14,desktopusenReu45,desktopusenTra15,desktopusenTra74,desktopusenTra86,desktopusenVid26,desktopusenVid73,desktopusenVid84,desktopusenVid93,desktopusesBlo40,desktopusesBlo56,desktopusesBus82,desktopusesGam32,desktopusesGam94,desktopusesGen08,desktopusesGen19,desktopusesGen20,desktopusesGen25,desktopusesGen31,desktopusesGen34,desktopusesGen36,desktopusesGen39,desktopusesGen47,desktopusesGen53,desktopusesGen58,desktopusesGen60,desktopusesGen64,desktopusesGen66,desktopusesGen70,desktopusesGen71,desktopusesGen75,desktopusesGen76,desktopusesGen83,desktopusesGen88,desktopusesGen89,desktopusesLif30,desktopusesLif38,desktopusesLif69,desktopusesPho03,desktopusesPho16,desktopusesPho21,desktopusesPho24,desktopusesPho51,desktopusesReu01,desktopusesReu45,desktopusesTra15,desktopusesVid93,desktopuszhBlo40,desktopuszhBlo56,desktopuszhBlo90,desktopuszhGam94,desktopuszhGen19,desktopuszhGen20,desktopuszhGen25,desktopuszhGen31,desktopuszhGen34,desktopuszhGen36,desktopuszhGen39,desktopuszhGen47,desktopuszhGen53,desktopuszhGen58,desktopuszhGen60,desktopuszhGen64,desktopuszhGen66,desktopuszhGen75,desktopuszhGen76,desktopuszhGen83,desktopuszhGen89,desktopuszhLif30,desktopuszhLif38,desktopuszhLif55,desktopuszhLif69,desktopuszhPho03,desktopuszhPho21,desktopuszhPho33,desktopuszhVid93
8.011110005,4.094794261,3.359758172,13.91175209,72.69617577,1892.75278,29.65409094,119.7267535,893.2549613,15.37002082,154.517515,102.8946875,712.6101383,27.25397272,265.5676256,315.0621113,3379.657275,8.413031442,2.930883463,191.6998881,566.6675933,59.23551202,95.42563962,939.8120906,4.292585271,38.45198981,7.169343434,141.4049601,14.3480361,26.43063278,119.8685706,30.38620711,39.554552,5.096848198,23.23364409,35.36891175,75.43552336,1518.470051,142.9082343,44.8746615,97.76621658,14.43326043,22.79825515,51.54138378,6.057270171,3.859758867,260.299358,16.35373067,328.1495691,157.6090099,280.2324668,19582.22397,816.0517239,277.5499347,15.3040295,633.0247739,4764.961218,608.8645675,17.30996925,5953.785959,93.02778392,153.7624569,995.6359268,379.489188,42.20502902,1729.729942,43.34427554,760.4273941,2964.942977,3837.124338,12.41647279,4057.359359,187.0604737,122.2157713,1126.121288,4150.562141,48.22076385,384.556327,2074.457214,967.1296976,3155.456384,447.1680223,198.1456938,44.69916171,26.14658112,24.40878896,27.24027946,30.44441344,36.95074241,6.17184717,218.1468543,130.3820689,275.9210735,225.0066473,27.64246084,324.841393,111.4951204,3.388416439,24.46211008,132.8645928,29.28893246,33.30302024,771.2348144,1247.261894,48.5898163,19.50456103,72.31634478,81.2049402,252.2069701,571.9696074,41.67624491,23.23238033,294.8276526,178.540234,77.52756939,70.84882795,128.1237515,56.8614786,6.475093035,61.18218944,546.4689431,330.8960132,73.51011551,99.83897144,229.5891927,6.126131958,160.4754068,229.4758629,27.94144244,1270.78375,16926.92006,24.71275356,4.797107912,14.43185125,140.0252711,11.95382727,94.34294016,3602.530157,228.5656951,27.72669572,209.4582193,1082.333144,62.78506681,560.7853958,145.5375107,300.0272089,17.89366419,177.5079108,236.9885577,389.7434978,11.13799755,35.35499254,238.4845192,815.0494687,20.72992311,58.03406243,1340.631614,13.79171178,22.78758497,69.31903537,4.97818775,29.84252406,154.3297281,44.66005174,4.269575208,14.20735008,8.996879283,61.96437583,2769.357975,4.669042855,6.681971547,21.87181591,18.46672533,1023.904247,17.66069517,24.57783338,70.96899128,343.0593221,62.75281092,5.472218048,33.54769518,145.1764829,73.34707969,142.5695905,97.2031579,271.8007287,198.1253239,405.037939,19.38668197,151.8598004,3.518640293,7.777655648,7.008663273,38.96376797,7.710553811,86.06723998,17.72592703,1410.529763
5.844997972,4.281895759,2.901857181,9.305995417,70.94403339,1569.094884,19.48100408,99.32339958,763.8648639,13.93619565,-2.825159545,110.6969025,662.213093,24.7610613,247.5300024,137.6218074,1684.887352,7.020700346,2.215509821,172.5319646,518.2867888,53.82458298,99.21824411,872.2698136,1.333257779,38.42883902,8.413754588,139.4107326,13.55878624,22.42284202,111.1998391,26.33810467,32.5490771,3.32397737,22.95157871,34.92753121,75.32082119,1405.422214,132.8170184,42.14700053,81.29311199,12.19998933,19.20047895,45.98078305,5.742102297,3.975254543,255.7004145,15.36805917,308.5501802,42.44327183,251.312177,18537.34201,763.9607637,231.3870827,14.538033,571.4186193,4106.670697,530.3820318,18.34984479,5100.14946,81.54338154,128.3615706,854.2939004,357.1402977,43.54565319,1613.732135,38.06241506,644.5106894,2731.255773,-580.8993633,11.23645063,2949.699728,164.2219673,114.3143894,1034.817112,3760.397028,47.78596071,335.0158042,1810.473521,854.8049217,3103.260856,381.5207644,171.5623314,33.52948173,23.03560937,20.5359278,24.32477558,26.34040521,30.57028593,7.229913407,222.339676,124.2408227,250.7588984,207.2230489,25.63495166,299.3556727,112.9037918,3.059152497,23.1948555,151.8712698,29.41627745,31.33451768,667.6538203,1202.38491,39.91763227,17.5769459,60.11064191,74.46569226,240.7341798,513.7051951,40.89748777,23.12025443,268.1170852,169.4769778,63.53086968,60.78755536,113.8755975,51.49762814,5.717334017,52.98296829,513.7027139,313.7984836,62.94681857,96.87633029,194.0127483,5.6739328,151.25857,213.9565256,20.69899226,1291.142525,16306.16025,13.23678292,4.173650853,10.84898563,138.6475358,11.11708594,83.68100283,2713.108239,224.1726124,24.91332023,171.9026934,974.8927146,51.97926488,461.6464463,116.0639851,214.6140687,3.22987077,153.1428871,219.630002,356.8632167,9.183103358,32.22839838,208.8802982,756.9713502,19.23077886,52.55498682,1027.880863,13.78479872,21.28608407,69.33197057,4.864910481,27.31335947,128.7517344,38.75381129,3.464278484,12.90629607,8.355715837,53.98273614,2703.038874,4.698334902,6.80682938,21.3189643,16.68121939,1014.300673,16.4790579,22.9981482,65.88496658,348.8689129,58.24574753,4.263140674,32.50028897,141.6893707,69.04267317,131.3600659,85.28635671,277.3031071,195.2259605,384.1823813,16.93480171,146.3167795,3.623899693,8.86689081,6.492734607,40.19827112,7.176942818,81.27254597,16.06810726,1369.391405
5.395461624,3.654326858,1.351587422,12.0799976,66.91142223,1382.329181,16.82582138,90.8724057,720.2446389,12.43163787,-111.40223,101.3491291,619.7217899,22.74276569,234.575576,63.02290087,917.5355945,6.937984256,1.628313048,168.0734766,469.6023031,49.27511656,72.39222947,800.8823604,-1.186369151,38.78501254,7.338030181,135.9071967,13.83867854,21.03811738,105.2809021,25.0383276,26.06226731,2.587370983,21.39070881,34.38728888,73.43342845,1329.178246,128.2708027,39.34994967,73.51919587,9.2564704,18.31981993,39.64704915,5.195858824,3.578391733,251.727876,13.39704345,261.9775441,-20.62237815,259.755743,17385.40523,733.855223,195.9907481,13.08270235,512.9583061,3968.974782,482.53648,16.43368608,1380.188475,72.15769558,123.8286029,814.1570869,337.3345125,41.32710804,1498.627351,32.70512957,586.1181944,2407.329354,-609.8198614,10.34201788,2273.05044,131.0218505,101.9294614,936.2095645,3875.230007,47.26535237,297.3616409,1966.602455,741.9023973,2723.015287,323.7550881,161.8850245,28.61625036,22.93501261,16.07762196,22.34484997,23.66131524,22.94587098,0.570337813,252.5092707,120.0843687,242.57067,192.5443084,24.39797622,289.9017816,113.0791689,2.594878473,21.18548247,149.8864446,27.90630055,26.77139537,608.1749107,1127.559996,35.11987485,17.90420476,61.07587871,71.56740241,231.0482066,474.6961371,37.90737684,23.33480666,244.446821,159.7875738,56.98673517,55.3865218,107.2643986,46.29658537,4.649927514,49.67092845,482.5232352,293.53244,55.76610349,95.62635466,195.0114426,5.887643558,132.6595664,203.9000757,22.57415966,1328.766912,15138.75196,12.65779817,3.871132033,9.833330684,140.2553334,10.23155876,72.86806059,2607.147408,203.0345013,18.52340762,124.685959,956.2498991,46.31954479,404.5129212,97.11206039,178.5601679,10.46449668,129.2133924,180.5306787,281.1793321,7.689250619,30.1911832,191.3035116,837.0284296,17.09774449,45.70319992,968.7973119,12.88112481,18.29968838,61.62922332,4.398924497,26.33995568,97.44303227,23.24040799,2.095733637,12.58897536,8.698510513,46.40849354,2566.704805,5.105752738,7.168570635,22.08389218,15.16449932,991.3422315,15.85878517,22.01876094,61.92799389,350.3174296,63.35288053,2.176859265,30.90863899,128.5417261,63.85269827,115.5773189,80.26161448,276.0925258,178.6667279,373.429339,15.27226243,141.9233781,4.483150567,8.086799899,5.938683371,41.94114043,6.950152976,76.26572443,14.90675469,1336.223476
9.975138765,4.625741654,7.248224051,15.13608864,89.96521207,1948.006617,38.20658187,142.0810705,1242.754752,18.30456717,566.2620281,127.1830626,852.2523544,34.22615989,313.2791261,617.6041766,109.9717,9.907147817,4.020340263,249.107863,762.8827894,74.98392656,147.4101048,1188.543402,14.13069326,41.44576822,8.589187853,158.9047504,18.122607,24.38324735,161.0394875,34.25745021,52.97945222,4.279807331,31.38384545,36.37017198,102.0226651,1725.57187,181.7088879,54.73649425,113.448595,15.61435549,21.20538266,73.34468995,8.448909089,5.35956284,274.1152552,20.03944232,394.2906834,335.5952959,328.5299502,20197.1704,879.2018722,361.1121451,16.46418823,777.1736782,5228.395001,692.9266977,18.61088402,23506.64647,109.939774,237.7077715,1183.614039,420.7107559,56.31165762,2032.073636,53.19078629,864.6271063,3072.84181,3990.230598,14.69110768,4469.279121,245.1857394,126.0043241,1349.63802,4978.928141,52.67301279,478.5820272,2213.752508,1290.415903,4041.951008,558.1556669,266.060275,60.87598523,52.63585408,28.57269238,28.8527489,34.0890883,49.82047142,3.057819761,268.7245616,149.5907388,377.0676848,272.1042947,32.33711219,327.068593,113.6247835,5.312405583,29.65865702,160.5628657,40.15626605,43.36028276,870.5787139,1503.615119,42.7686463,25.02323664,69.4988145,95.3538067,276.0396821,688.5608473,45.83641584,28.61028146,343.0427523,197.6157571,79.42037362,90.43407224,176.7226238,76.10155566,6.909989464,69.64991044,671.7296507,394.1061106,93.48296768,118.7254277,270.2667228,9.006427318,193.5918819,246.8562361,29.21720074,1602.379575,21503.88329,21.45021009,6.248742491,17.72084802,141.1298656,13.58944181,102.2890248,3798.9771,253.9928721,39.3829545,229.7770526,1604.749796,75.29452045,889.5479865,161.5638789,336.6334401,22.56445677,193.420292,354.4854072,775.9419205,14.94283527,45.18167917,277.6824598,1518.928318,30.25504103,79.4907148,1306.174782,17.53542966,23.45042515,86.36159978,7.226921427,33.41345068,192.7185626,49.09888242,5.074180323,16.67612967,10.64650988,86.82144151,3329.321535,5.740792431,8.191219849,23.52816322,22.94522859,1221.715055,20.08670472,29.42586049,80.19423298,406.9864885,83.50365573,9.674554485,37.60892043,167.6028557,89.35241438,168.084143,124.5829832,339.0603426,221.6585874,461.4120298,25.37404072,200.7037936,5.531500641,8.650161668,6.953941238,42.09932692,8.771922626,109.0029229,20.21360644,1405.173736
9.158494707,4.337103501,6.462556337,17.08129091,80.66522187,1881.450719,38.53153727,139.3984233,1180.592032,17.20929231,533.5649309,115.9125807,823.5415551,32.75946582,296.0277348,452.1230583,3174.883239,10.26042091,3.803091002,243.4214396,710.2664801,70.51609641,132.2654834,1116.212501,10.38111072,41.15035659,9.103546504,165.7876811,17.31599781,26.09737558,150.4923014,33.50452685,49.51802299,5.088734143,29.21948198,35.86802675,95.37309287,1680.275202,169.2905121,51.72861482,111.3177608,15.24105814,23.7784459,70.67545972,7.69035688,5.167230693,269.636169,20.72768999,408.0059139,301.5205714,323.363304,19872.56984,865.6064856,362.7110763,17.17679626,696.1979387,5438.522142,693.6484096,18.46992412,18213.67999,112.2631354,225.227362,1173.656414,414.8911891,58.27827085,1963.998403,52.25017208,895.2780599,3022.17117,3433.494349,13.98014614,5106.249092,242.3913081,131.2240278,1318.398756,4967.489456,52.92272646,463.9741416,2267.124147,1228.951368,3774.047638,536.2498551,278.867835,53.94631032,44.37169456,28.25755245,30.40566566,34.67592978,48.69702378,8.096445444,261.7425315,147.2555264,352.7692769,265.5284015,31.56247837,342.3471851,110.0436341,4.952088399,29.79083767,164.3151479,39.16894278,39.58512867,884.1744246,1456.565675,48.76581393,24.03393876,55.27372044,94.99191899,269.7791724,665.6798892,44.75313564,27.66809414,332.5205486,194.8320792,85.87210534,90.36361342,162.0236176,74.17214464,6.494022546,69.7672982,636.2600713,382.8388984,89.65653392,116.408946,291.2990087,8.849999011,190.2579772,243.4848166,32.3274666,1463.186337,19914.61821,19.99364527,5.865373599,16.80152898,148.6082588,14.81760129,104.4616727,4223.323115,252.5004243,36.66892745,227.7278106,1408.121098,76.32811471,796.5248912,175.5048326,374.0736561,16.84133686,190.0237984,333.9792814,580.9016667,14.96745298,44.12531361,304.4365822,1295.668568,27.38687305,76.6978223,1517.668515,17.13786563,25.28004072,81.56295576,6.688852481,32.99045907,204.4943462,51.69120099,5.649510502,15.8932412,10.02658923,83.45136694,3145.300236,6.422595291,7.852453708,23.71957468,20.68366724,1247.212615,19.67772841,28.38110714,79.67409114,465.2332757,93.46190261,8.912014771,37.70229618,163.4653807,87.03093097,162.8777848,116.8155926,321.8384028,248.9253067,461.1127759,24.07480728,186.4523799,5.043108781,8.442603927,6.935983914,42.01693127,8.472479674,103.0136686,19.57897279,1414.744751
7.814972107,3.841080479,5.422657328,15.98506875,79.02282262,1956.552177,34.83397244,147.7282936,1119.411581,16.60258098,457.5280939,115.5413995,776.7732421,31.99034647,281.6553413,456.1807073,2792.177896,10.21484466,3.403930775,228.7621646,642.661501,66.88613435,132.9612853,1051.446967,6.838850682,39.67470284,7.088879726,158.0627349,16.35072049,25.21775364,138.091237,34.80689915,47.84236846,5.049536786,27.44782035,35.47100288,91.53578649,1596.327385,169.8927995,49.02722325,110.410882,15.69027165,25.88820106,61.77422704,7.658539444,5.332611342,266.2685962,19.52601087,377.5635884,312.0608099,286.5387481,20306.95035,857.91429,359.1356224,16.69151563,652.3031251,5286.73922,642.1063118,20.25270744,2693.726829,105.0703345,190.0241956,1131.440444,408.2489314,56.47932074,1868.621886,54.54507892,903.8892307,3087.670012,1342.94687,13.75765177,4348.518131,217.212222,127.1307758,1290.571425,4953.294696,53.01035186,442.8028856,2159.893805,1152.161297,3554.074929,527.8478844,242.1129837,42.25883335,36.21976536,29.6850369,30.54857836,34.53883242,46.72872858,9.599436792,248.6569617,142.6802785,330.7266231,258.0339196,30.84793599,349.7448561,113.9704129,4.436045348,29.92961437,171.494812,32.96346012,37.46184708,928.2484495,1328.188409,47.88251017,25.06804061,52.48107006,95.69191967,263.6469047,654.5766052,44.21704106,28.10307521,324.7278172,193.5518414,84.7756207,90.68579927,152.6899712,69.49112225,7.061032901,70.75334266,605.7740528,367.5272969,87.70066764,112.9944413,259.4094374,8.221220263,180.2029914,233.1292893,33.36450604,1319.451548,18428.18551,17.0620671,5.368782483,17.74701678,138.5342364,14.21458154,121.647797,4124.332253,251.7509662,34.7920778,250.574351,1290.978351,75.51043983,725.6088125,163.2579363,341.8641282,16.53023027,196.7141634,318.8807837,683.7103803,13.73794881,41.55864802,298.7740245,1120.476508,25.64881215,71.84621824,1614.338589,16.8839265,27.63506345,78.16845142,6.308127421,32.37679896,193.2617663,54.84021981,4.471340132,15.99916,9.993566236,79.12788612,2938.03933,5.251364306,7.994157736,22.67953335,19.0676604,1111.09423,20.14407075,27.53525642,73.06201171,440.2135756,81.40808123,8.412705915,36.18843648,155.5088687,83.71057112,156.262942,110.6569053,308.7010685,227.4583296,446.1308354,22.240999,176.9683336,6.441892006,9.783115111,7.543499744,40.57364784,8.100638517,97.22325384,18.23711135,1424.566461
8.638142257,3.810750479,5.407381699,18.05547653,76.47611789,1833.80078,32.3070032,142.54743,1092.273992,15.44585321,414.9320533,125.0984999,741.2150598,30.30455647,264.8919953,298.3839871,2586.675736,10.31095172,3.257352661,212.6343265,615.3588936,62.54563545,112.8785027,990.4730756,4.659672849,38.44557653,7.235935542,157.6682603,14.87505317,25.27106001,134.9077417,32.08060496,41.78457684,5.416200326,25.75805316,35.24458589,84.94713546,1562.515585,160.8982108,46.66888367,108.494208,15.51543625,22.31378147,58.23128042,7.097240319,4.855551167,261.4330917,18.04890847,367.281241,362.333136,308.0436332,19331.70143,849.5240037,311.0238729,15.96459577,670.2113397,4986.308219,644.5479428,16.48638285,302.5097089,102.9930035,170.782041,1077.856332,397.6926215,54.11930962,1780.769068,52.16459514,856.8873221,3063.504535,1726.001151,13.41792305,4417.744267,195.1215239,128.3369431,1182.794691,4548.988369,52.685279,419.5119605,2041.075968,1077.926535,3392.01676,505.2431719,229.082288,38.90906653,30.38276069,29.45192712,28.25347632,32.48237242,42.43602923,0.391643982,223.3147451,134.5993058,300.1656119,240.243198,29.22867561,318.738116,115.7388422,3.850396808,28.27436825,191.2708955,38.12036303,35.0324017,903.9565363,1288.781523,51.47653377,23.07248135,65.28654841,92.93925082,261.8393838,603.5545488,42.84169793,25.54332343,317.9456413,190.4525342,89.02497316,87.8574905,141.6746721,61.39906163,7.173358553,65.33334413,570.9283547,353.2356711,83.1199284,105.2006557,264.3869458,7.536264971,169.3269355,228.1737963,30.94059696,1206.769729,18138.82688,15.69108051,5.057484631,17.96707753,144.7268879,12.09449015,118.7118758,3968.074861,247.5839135,31.71780578,224.5327933,1292.915964,70.22175134,644.6679185,164.435657,316.0874708,12.14267152,197.9258328,290.9396492,643.1281518,13.14663462,40.04049707,303.8351445,1055.606916,22.83791965,67.44786343,1508.752002,15.21495776,25.46821056,82.18097471,5.800301671,32.652509,194.8164686,56.28761565,4.812557323,16.55633567,10.04140776,72.06369214,2973.787579,4.78368739,7.466544199,22.74916984,18.90380624,1137.421957,18.66205972,28.24313009,73.25589466,413.83854,69.0611999,6.478663171,35.81324055,146.2772979,77.72153852,143.6822499,107.9988702,312.9663232,212.2211711,428.1813749,24.49101293,168.1336584,4.89569078,10.65550132,7.288283784,39.22213593,7.903430422,93.020545,18.34613204,1366.762688
8.482384371,4.463391225,3.170646407,15.13466618,67.2061788,1833.80078,30.44682288,112.3509023,919.1586159,15.16019154,166.1429931,116.4086743,701.3122858,27.92367554,261.7104315,181.2723719,686.2170583,8.668286053,2.534365201,190.9180312,580.90589,58.21305389,99.51633955,926.9207646,3.255809906,37.3864843,6.745408553,137.7615002,13.75912495,26.73960861,118.1774046,34.02862616,37.0605653,4.888234731,23.59147552,34.784545,80.19292366,1518.748265,145.874193,44.0854264,97.58147175,14.19034048,20.62919131,49.80333057,6.555208751,4.639994557,257.4102784,17.01517892,318.8185089,329.5349919,271.6732532,18208.10753,812.727584,251.1898176,14.78028033,628.5821865,4858.897424,591.5739856,15.02094643,1696.381197,93.03257062,181.4979439,977.8714654,384.3060595,53.00376653,1706.684617,43.46142756,784.8392603,2785.636288,1389.10971,12.73715385,3329.59519,224.0991544,118.511548,1043.59501,4142.671171,52.44444966,378.8192579,2019.26669,971.7310589,3141.434907,438.5140531,193.8626935,41.65959818,28.81260956,23.58628844,27.27530107,29.06312212,34.12469887,8.520328422,205.3931492,124.207562,278.3389409,231.8754241,26.27560655,338.2032776,114.4620174,3.534488492,24.9166126,128.4223136,30.32039358,32.54280488,873.3806242,1215.719311,42.16258704,19.85996825,75.11012308,83.70532841,255.1907966,564.3381866,40.95381324,24.71639748,295.1294807,179.6752332,84.56056378,75.10860937,123.2139231,57.18265305,6.557130228,57.10782957,543.0072546,335.4872715,74.93271132,98.09478001,217.3272908,6.062178232,172.8992946,233.4667384,25.52189096,1136.195129,17400.83513,16.5154655,4.836553692,13.47069864,135.7538208,11.66179511,84.93522545,3240.043981,224.8197028,27.58408943,189.6857355,1353.596204,59.7908264,568.1905476,140.4499536,254.0762861,5.878108067,179.7269637,228.5275041,470.5492943,11.05198754,38.91794253,255.4272861,972.5691174,20.68207685,59.33229659,1245.397916,14.02114534,19.55589003,85.02456014,4.374943191,29.52995619,149.1541252,43.29474661,3.799012483,14.29385162,8.91187885,62.04525641,2860.501872,4.199961712,7.60596088,22.23705291,18.05362729,1129.774119,18.03835639,27.19239705,71.09148017,437.8583256,73.05047257,5.165815531,33.78649132,149.7982905,76.05008931,134.5651213,104.947303,281.4333857,205.6004338,410.9338808,23.46786146,157.6034236,3.850105581,8.701696872,5.970896611,39.36929236,7.599777931,86.7698149,17.16008021,1386.612762
6.624613593,3.68254316,2.500003335,7.875997329,66.05244826,1611.224988,24.15456237,93.68780939,808.9174568,14.25077859,120.3565144,103.9072208,657.2538836,25.10406858,238.0697683,136.3678948,479.6864177,7.013937275,2.197270647,173.7705379,538.0149637,53.96572895,87.38498058,861.4266346,2.318066295,37.2676809,5.676427364,139.8246653,13.43667463,21.76431851,111.3115724,28.02848828,32.21960894,4.087752056,22.53685352,34.35452834,78.00216717,1456.374737,141.142556,41.63069059,83.43873678,12.52452361,18.48212417,43.4976185,5.410038417,4.084757051,253.7788474,12.80458746,282.6990059,229.0710879,269.2345321,17153.00373,761.7143084,216.4066921,14.12041278,591.6297306,3948.80414,502.2887722,15.56379982,1988.837737,82.60573432,138.4398973,860.4445584,367.1950322,51.47818105,1591.07216,37.49674743,680.8601394,2543.885722,1468.547851,11.78698062,2408.844039,206.3146564,109.5253902,971.0945594,3703.191065,51.88842899,337.0191532,1820.074177,854.851407,2910.287282,368.2030868,177.3103657,33.40292874,24.17242385,19.78717,24.52498853,25.61978575,28.12762595,8.84940646,200.9472621,123.4541372,261.0143728,208.377869,25.14126504,297.7015281,109.1413119,2.862085405,21.64028423,157.3814242,26.93624822,29.98415449,771.6772752,1133.084517,37.18262343,17.73847092,55.43596809,74.01243623,242.3472883,514.4723211,40.23782342,22.4491421,272.2791065,168.5364599,64.27747267,62.85242193,107.4352634,51.70004232,5.38640651,50.81338149,511.9059081,318.1991766,65.0898038,97.18834046,192.1964903,5.591387302,154.8015395,221.1771715,19.20761223,1101.214674,15395.45295,12.53713127,4.038591653,9.481442991,135.7389452,11.12072408,68.23464005,2612.863034,214.8298667,23.88590955,124.783974,1021.123819,50.48996553,472.5689118,101.9333943,181.9951446,-2.365052307,148.3697852,189.6744342,230.1117948,10.38445658,31.97898365,209.6616277,917.189539,18.2970396,51.74476981,1020.449567,13.45079158,18.056474,72.02005414,3.48603437,26.03736342,114.7451682,28.74235355,2.806953771,11.90461768,8.398093539,54.81505754,2731.028437,5.011689043,7.522950975,21.60048223,14.24370333,994.2281489,17.54704998,25.05118936,68.26529037,374.668571,66.4144306,1.351732682,32.39137474,142.3570152,69.9835121,116.9058987,97.92754857,262.0425766,207.2244913,396.7492928,18.33971989,144.0316136,4.168773639,9.814940785,6.284968749,38.28832641,6.854899097,81.38028093,16.24740985,1328.486147
7.276213555,3.310491156,1.67352707,10.81004929,63.28773735,1330.612763,18.2255181,82.43144208,676.3872554,13.09637767,-57.98602633,113.708977,615.4552575,22.52247441,223.5925016,188.1919316,362.6502558,6.930412637,1.635103402,162.6296908,486.7274219,48.78473912,82.19302035,790.7067411,-1.549282761,37.14189463,7.420646372,137.3045063,13.55076992,24.35707069,104.4621759,26.21966638,27.64610092,3.211764052,21.10787575,33.93784512,68.5777073,1366.897118,124.9674042,38.80528414,71.23684909,10.38444423,16.70234661,37.24156897,5.358361992,4.860855756,248.3988112,12.65594734,249.8179285,77.42989059,246.1425232,16289.0614,726.8665692,203.6738368,13.00695236,521.8226062,4000.451831,453.2071037,14.04103821,845.8666424,73.16208941,109.8674324,810.1249189,350.9504393,46.86927009,1532.36597,33.37102461,572.3177431,2262.060626,-144.2472134,10.68307227,2164.833037,183.1821539,95.51975986,929.8243464,3363.600957,50.84954834,306.1849867,1475.930555,744.1354628,2668.226401,329.9600752,183.384134,32.45127062,24.98083587,16.2409021,19.96610298,23.51704528,23.36663974,8.917055657,209.5668568,120.4529935,238.9996466,197.7547556,23.21340831,291.595703,108.6839163,2.736210277,19.40172908,148.5151751,26.73618371,27.32402722,586.4606265,1082.259807,34.6349053,16.24491345,50.65761901,68.44188542,238.1406258,467.6557651,39.13546548,20.11766681,246.8630087,157.3500664,59.76272345,51.62554961,101.0958094,47.07464067,4.667396966,49.4935638,480.8095495,301.3087168,54.65047625,97.87899778,203.4738603,6.156147943,135.3079913,214.4391191,19.5271097,1079.427709,15322.65192,14.19202068,3.857867605,8.612754956,133.5095219,11.03959564,65.77034703,2255.174678,202.72142,20.7956477,138.1589329,836.9899417,46.32528306,404.8098378,91.30054432,174.6647499,0.293079036,123.9001124,173.4568472,163.6577018,8.135043665,28.05568826,206.3002233,840.9497252,16.06425996,45.56504393,918.5791977,12.57611829,17.82861657,59.43979779,3.653816892,25.44707006,98.0567159,30.82338561,2.899343898,11.54462932,8.691521659,46.14432612,2682.863082,4.619580081,7.024810377,22.3064356,12.69221782,937.9666462,17.51425185,22.84209203,64.6467494,317.2817345,47.3109999,3.166455896,31.32342412,127.0561609,65.23878551,112.2817376,89.12942025,241.2770926,198.5655294,378.5544186,17.13961612,130.4533021,4.579321999,7.780947661,5.828821423,40.0793247,7.178722903,77.54920135,15.33949307,1337.571444
