desktopspdeBlo40,desktopspdeBlo90,desktopspdeBus82,desktopspdeGam94,desktopspdeGen08,desktopspdeGen19,desktopspdeGen25,desktopspdeGen31,desktopspdeGen34,desktopspdeGen36,desktopspdeGen39,desktopspdeGen47,desktopspdeGen53,desktopspdeGen58,desktopspdeGen60,desktopspdeGen64,desktopspdeGen66,desktopspdeGen70,desktopspdeGen71,desktopspdeGen75,desktopspdeGen77,desktopspdeGen83,desktopspdeGen88,desktopspdeGen89,desktopspdeGen92,desktopspdeLif38,desktopspdeLif59,desktopspdeLif69,desktopspdePho03,desktopspdePho16,desktopspdePho21,desktopspdePho33,desktopspdePho54,desktopspdePho63,desktopspdeReu01,desktopspdeReu45,desktopspdeTra15,desktopspdeVid93,desktopspenBlo40,desktopspenBlo56,desktopspenBlo90,desktopspenBus62,desktopspenBus68,desktopspenBus82,desktopspenBus91,desktopspenGam13,desktopspenGam32,desktopspenGam44,desktopspenGam94,desktopspenGen06,desktopspenGen08,desktopspenGen19,desktopspenGen20,desktopspenGen25,desktopspenGen28,desktopspenGen31,desktopspenGen34,desktopspenGen36,desktopspenGen37,desktopspenGen39,desktopspenGen41,desktopspenGen42,desktopspenGen47,desktopspenGen49,desktopspenGen52,desktopspenGen53,desktopspenGen57,desktopspenGen58,desktopspenGen60,desktopspenGen64,desktopspenGen65,desktopspenGen66,desktopspenGen70,desktopspenGen71,desktopspenGen75,desktopspenGen77,desktopspenGen78,desktopspenGen83,desktopspenGen85,desktopspenGen88,desktopspenGen89,desktopspenGen92,desktopspenLif04,desktopspenLif07,desktopspenLif09,desktopspenLif10,desktopspenLif11,desktopspenLif12,desktopspenLif17,desktopspenLif18,desktopspenLif22,desktopspenLif27,desktopspenLif29,desktopspenLif30,desktopspenLif35,desktopspenLif38,desktopspenLif43,desktopspenLif46,desktopspenLif48,desktopspenLif55,desktopspenLif59,desktopspenLif61,desktopspenLif69,desktopspenLif72,desktopspenLif79,desktopspenLif81,desktopspenPho02,desktopspenPho03,desktopspenPho16,desktopspenPho21,desktopspenPho23,desktopspenPho24,desktopspenPho33,desktopspenPho50,desktopspenPho51,desktopspenPho54,desktopspenPho63,desktopspenPho67,desktopspenPho80,desktopspenPho87,desktopspenReu01,desktopspenReu05,desktopspenReu14,desktopspenReu45,desktopspenTra15,desktopspenTra74,desktopspenTra86,desktopspenVid26,desktopspenVid73,desktopspenVid84,desktopspenVid93,desktopspesBlo40,desktopspesBlo56,desktopspesBus82,desktopspesGam32,desktopspesGam94,desktopspesGen08,desktopspesGen19,desktopspesGen20,desktopspesGen25,desktopspesGen31,desktopspesGen34,desktopspesGen36,desktopspesGen39,desktopspesGen47,desktopspesGen53,desktopspesGen58,desktopspesGen60,desktopspesGen64,desktopspesGen66,desktopspesGen70,desktopspesGen71,desktopspesGen75,desktopspesGen77,desktopspesGen83,desktopspesGen88,desktopspesGen89,desktopspesLif30,desktopspesLif38,desktopspesLif69,desktopspesPho03,desktopspesPho16,desktopspesPho21,desktopspesPho24,desktopspesPho51,desktopspesReu01,desktopspesReu45,desktopspesTra15,desktopspesVid93,desktopspzhBlo40,desktopspzhBlo56,desktopspzhBlo90,desktopspzhGam94,desktopspzhGen19,desktopspzhGen20,desktopspzhGen25,desktopspzhGen31,desktopspzhGen34,desktopspzhGen36,desktopspzhGen39,desktopspzhGen47,desktopspzhGen53,desktopspzhGen58,desktopspzhGen60,desktopspzhGen64,desktopspzhGen66,desktopspzhGen75,desktopspzhGen77,desktopspzhGen83,desktopspzhGen89,desktopspzhLif30,desktopspzhLif38,desktopspzhLif55,desktopspzhLif69,desktopspzhPho03,desktopspzhPho21,desktopspzhPho33,desktopspzhVid93
2.551312252,1.787168985,2.878563735,6.983081449,5.344507254,51.85454153,4.461308853,11.78294062,26.30720254,3.177550142,9.538501747,7.839127809,14.40712294,6.728690618,6.612149293,19.93863874,16.58423222,1.807271123,2.34988365,9.053475039,35.50870702,8.126768395,5.266479815,34.71044859,1.906509892,6.994879129,3.201802085,6.279803987,3.128812624,1.813037777,19.40412976,3.223442671,3.897354106,1.716181614,3.484512965,2.694706237,3.865169591,37.44710658,36.68579953,12.55885555,22.26557801,5.232391522,11.29945765,16.42590676,2.967590251,5.264832569,24.73311788,11.81515181,94.39346605,14.24399336,38.28739287,2073.206612,88.23644026,41.80122571,5.326102303,94.38167528,278.8913093,66.10471036,4.913812918,151.6483574,18.67009554,16.16829714,113.1526835,26.90190296,7.151830085,166.8270447,8.865679541,73.58329526,232.4295642,592.2448721,5.126329767,131.6040257,21.19651634,34.78084281,204.9518035,810.8498313,3.385263368,38.88772971,65.45241483,106.7212365,466.4872638,65.27270684,24.29905519,8.314206043,8.169418095,9.449870257,7.628443564,6.548613941,8.867630658,6.944438493,21.81871771,23.94465545,23.66062268,48.06198706,5.648871419,54.41238122,10.20195755,2.314920146,8.380179373,24.62022853,14.93807608,10.67671963,53.95230692,38.12547114,11.95570794,7.181086915,19.57640606,20.36504998,36.45977074,103.8003905,16.18761884,7.97600864,43.87811706,16.78207575,21.4564665,18.75354113,25.1763482,14.37283322,4.21147151,20.05189467,25.11149324,47.71345665,11.34917566,18.39378022,23.42984986,4.819150196,13.52385595,29.09896656,8.190928785,48.54889513,714.4210212,6.366906907,4.299642868,2.148277694,11.96167712,4.084330161,5.657571952,64.64836588,10.80304044,3.665211469,14.58966077,31.97982972,10.61702733,10.87102152,10.08424733,14.77407586,3.652705546,10.1371393,14.94006798,28.86923272,2.112211258,2.907801515,16.14894967,71.56199442,4.24787802,3.897723322,46.85814319,2.936081011,4.814393037,4.437839501,2.295219882,3.651406813,16.960558,9.746360413,1.39238394,2.264695305,1.481002872,2.680849392,62.38914096,4.920423269,4.370968925,5.317638173,4.848500553,48.05594347,9.916061157,6.842796523,14.01466527,20.41025955,7.266322421,3.59247609,9.043139623,13.72976424,8.233147598,10.17878341,19.89008429,13.90125437,17.0468137,37.63983886,8.540901736,16.51244195,5.168868263,7.009717561,4.362694205,6.313870051,5.535106594,14.16873253,5.096493105,76.25153696
2.41929629,2.06059478,2.720330475,6.683367778,5.826846757,50.77811925,4.307529593,10.75743756,25.5288695,3.040104233,9.780419878,7.843603763,14.74063385,6.26319798,6.461660074,20.09660641,14.45404249,1.958099187,2.278051259,9.44509486,35.41668426,7.920085778,5.571299537,34.00536276,1.653312312,6.658363474,3.316269952,5.889923073,3.309314017,1.920641002,19.1396343,2.949198083,4.742924662,1.699937896,3.414243138,3.021099101,3.91419321,37.08569953,36.79476063,12.79258618,23.05762079,5.904209761,12.17352779,17.50534405,3.148928679,5.084876368,24.30513024,12.23449418,88.06663488,13.76704111,39.39964277,1983.181508,82.89115894,42.92663865,5.234391018,93.46813252,259.4948954,64.49177243,5.838486151,148.0046309,19.35343171,17.03700143,123.2908622,27.75622339,7.691741395,158.7349366,8.96126948,64.14658033,201.537902,557.3544984,4.878310448,127.7315821,20.17011895,33.6019934,199.9548804,737.0784015,3.666876024,39.51546819,61.09425948,103.11046,369.366051,63.66262295,25.50793781,8.443226638,7.562505793,8.808260019,8.442735075,6.773464531,8.585611872,6.304872242,24.27040666,24.03266676,23.31116562,46.12693675,5.843012292,53.16900861,11.97669382,2.627300935,8.562962214,21.61609015,15.01584653,9.684653348,51.71843099,37.61984054,13.56416251,7.513846107,19.26976473,19.70203442,34.91553209,107.3748753,15.73479841,8.504453339,40.30710131,18.62920688,21.49835047,18.93595359,25.33462893,14.55361092,4.266759829,17.61940643,24.53026016,42.73785583,11.68043895,18.89310269,24.38873545,4.645184811,14.05216568,29.48830076,8.493757669,44.98346788,715.9933171,5.955775554,3.894333768,2.08992218,11.57007564,3.849009391,6.297208603,61.06557434,11.52983374,3.786649958,13.36099779,31.59188735,9.675957409,10.34427755,9.355333173,13.80855121,3.286166743,9.474134773,14.77336459,23.61668606,1.553924078,3.03652426,13.87982917,66.7438665,3.787812658,3.771228461,45.09389458,2.765398026,4.701801436,4.321531454,2.096833897,3.717755252,16.82801632,8.920063814,1.676723974,2.032355249,1.275374298,2.845680315,60.56448465,5.36849463,4.645726998,5.846323104,5.075775222,49.88369268,10.20587893,9.703142034,15.57821045,23.01855634,8.158043986,3.831096832,8.21995715,13.98775565,9.695070097,11.34636478,22.73625798,14.42490152,17.2947909,40.02135812,8.716623289,16.72098497,6.339757876,9.342518565,4.284667511,6.633674819,5.319243321,15.57615788,4.758130134,75.76454099
2.626815641,1.628709054,2.63196641,6.22790734,5.982594904,58.30708498,3.864645837,11.05430072,29.87657517,3.396065145,9.450888845,7.814245761,13.80106892,7.918076637,7.075556899,19.96771204,14.60263538,2.190052286,2.199210831,9.519107993,37.87609006,8.475183112,6.638316404,30.97674488,1.845642751,6.367409337,3.864787697,6.025166513,3.238719601,1.86387344,20.51687583,3.261248993,4.673629738,1.462458622,3.220205609,2.880219066,3.975511594,36.53376551,36.04779787,13.25790568,23.86450662,5.521507245,13.14694031,17.38708664,3.426031637,4.945981688,24.89043624,12.09146406,102.429013,14.47926178,39.23803786,1870.5756,91.23879477,43.43290582,5.676335174,100.8993496,258.9217512,64.68023445,5.346258067,145.8206384,19.29657529,15.96796203,117.9645919,25.95564495,6.913858879,154.3264304,9.49224326,66.48587028,200.4659352,560.0401449,5.49778607,121.8527898,20.17298228,33.16819383,198.4106233,736.421762,4.014314606,37.65744842,62.66885841,105.6779284,296.33083,62.2940993,23.98960533,7.813838072,8.111294661,9.476795079,9.260699623,6.921518506,9.171263791,6.837984594,22.86617952,23.50439648,24.0385511,49.04349227,5.455308518,50.50120284,11.87037155,2.615697265,8.277113207,22.62579913,15.37087488,10.64848203,49.00765203,37.60908504,12.72942374,7.435432497,19.72996527,19.38077854,33.49635062,103.9121965,16.71274671,8.255702286,41.85947892,16.83723853,18.94652586,17.57682741,23.09730567,14.69050366,4.531597021,19.03472235,25.28608289,41.51010348,11.45212219,18.46406812,23.87547887,5.335477867,11.80796665,27.72498025,7.889613312,47.09094965,688.6062708,6.073543585,3.893729061,2.103610399,10.65371624,3.679444962,5.599269897,63.68761789,10.96612437,3.722685525,13.15831361,30.94037046,9.069733973,10.74893235,9.466862309,14.22255381,3.735357295,9.307189754,14.53378369,19.62367085,1.625093826,3.07269537,14.28957977,65.25430928,4.061876568,3.702002621,42.84257359,3.246680765,4.6697592,4.755838126,1.9499101,3.861231656,16.74725669,9.433875067,1.419069577,1.905526226,1.48485638,3.174683199,60.56914164,4.896014135,4.061196153,5.409074741,4.566608585,49.02385565,9.490370961,7.402307188,13.71392267,22.35656701,9.052634875,3.755427208,8.11069577,14.16199189,8.440524037,11.17102993,20.86862085,14.28149129,16.79635861,37.89383164,8.261631412,15.24316865,5.565625131,8.350102495,3.858847859,6.882647742,4.934901705,14.96904414,4.590433675,66.81072203
2.272034307,1.8536044,2.804529053,7.331098785,6.271236016,54.45603481,4.292087393,11.54360121,26.87180071,3.845231506,10.06117277,8.288310894,14.50733337,6.909315241,6.692247452,19.40820382,15.31812471,2.089974699,2.768603666,9.335879214,40.35817635,7.869567489,7.073778174,30.37624987,1.621329063,6.816655708,3.845800915,5.558084186,3.126682379,1.931703585,19.61517429,2.789445329,4.147708955,1.494341814,3.559068819,2.510375935,3.738133214,40.56850731,37.15572281,14.14566382,23.90105782,6.660609738,12.53355276,17.44145999,3.127934634,4.913073753,23.22146258,12.71540152,105.7369937,14.21465379,39.70312427,2346.756758,83.47153241,41.16538597,5.701991164,106.9762874,261.2305724,68.29071689,5.343089035,146.1708237,19.71364411,15.00282071,121.0145696,25.56842258,7.383417943,164.5136597,9.897512932,57.59652221,210.3887248,588.4751577,5.289320012,122.7921466,23.28516683,35.54455239,225.4996785,817.9806611,3.555991941,39.14913271,63.51972235,98.78274569,311.6493858,66.49394679,23.63381308,7.944806892,8.132017767,10.90937725,8.951937753,6.7671682,8.345077721,6.498668636,23.20969359,24.44252568,23.18998724,49.73894979,5.755031903,52.10250247,12.76198309,2.317966289,8.089228187,23.73757921,14.51661551,10.45238074,51.20614447,37.27028508,13.17684077,8.409263807,18.66531926,18.26420926,32.66265904,106.042551,16.1229569,7.993522401,40.57649004,17.27910714,19.32150875,17.43197456,24.62115054,15.20341467,4.661368592,17.87178473,25.39798547,42.39968021,11.65621909,16.42173214,25.04393959,5.866555319,13.42170157,27.45285572,10.44063894,45.51192663,698.8668982,7.496262202,4.204473299,2.673013431,23.00480564,4.280417842,6.609184073,73.54571307,16.02922258,4.875630974,14.00779484,36.01589392,9.469358877,11.44310864,11.56815151,13.52319174,4.374712518,8.614601032,15.0729941,20.58155302,1.687350199,2.558554057,15.70895294,71.47517543,4.215326903,3.87319513,45.32359026,3.34605709,5.304658726,4.613296296,2.084071789,4.027807896,18.77936763,10.04148359,1.956164273,2.142838991,1.229407731,3.15345445,90.47838221,4.893210999,4.099472427,5.754654246,4.853161214,48.23672682,9.529784564,7.185825454,12.8028832,21.07092638,8.960797206,3.560010137,8.029236932,15.2973407,9.554203,10.37264201,21.68840452,13.96397454,16.95990203,36.36997585,9.493225189,16.05997501,5.105803768,8.406056755,4.12256334,6.71471835,5.455690464,14.31812532,4.912818027,117.0425011
2.536087078,2.103226298,2.470497771,6.213176856,5.105087238,54.89757662,4.159349453,12.23931108,26.42582102,3.712281325,10.65489427,7.692556523,14.57640456,6.58776292,6.562021206,21.49903976,15.88234142,2.178506122,2.68683693,9.466819139,37.58016235,7.873327729,6.618348015,28.12526867,1.373085758,6.554298748,3.903028001,5.841289193,3.11979182,1.818883878,19.72828532,3.194377349,4.626253853,1.34022891,3.12449159,2.690753364,3.628873634,37.18471866,38.62396948,14.33291176,22.7267469,6.443461917,13.20380846,16.88209384,3.651269906,4.830256138,23.33724747,12.02515249,96.10078167,14.29971035,40.85301286,2305.840412,79.56462248,49.89146428,5.463349644,110.1731258,282.2429673,67.85337988,4.994653452,152.2464208,20.08795228,15.75877541,122.6889202,26.129379,8.356596147,178.9953461,8.985899627,58.81543476,208.7795295,579.4941152,5.194997571,129.7225267,22.17121629,33.77297823,228.161977,823.8363854,4.20854104,33.7419317,68.59354989,103.6807007,315.1941098,63.84915008,25.90726488,8.665377312,7.686390292,10.48130794,8.924697848,6.561066839,9.042562405,6.193100465,24.19918946,23.47751338,23.15715961,50.99027498,5.321886906,50.22145333,12.58975643,2.477450484,9.051664078,22.700842,15.06935441,10.77860076,57.82626954,37.64476582,12.40415268,8.081532684,19.70095905,18.61492723,32.28051019,104.733997,15.45384141,8.485404235,37.31186365,16.63521882,18.33608159,16.1687718,24.97548979,14.42422936,4.540631099,20.86413222,27.9892952,45.98958842,11.57848632,16.42210581,26.31807533,5.658520088,10.7719165,28.39196868,8.928955943,48.10444961,716.3341295,7.012615186,4.024713025,2.43797729,14.70877536,4.401422552,6.76520835,68.77114091,12.54323554,3.863447538,15.12989883,34.60667499,9.880049381,11.94895569,10.67221568,14.05114116,3.869021284,7.102350019,17.46920693,20.41420875,1.672515462,2.912556391,13.87491884,77.67946849,4.039529851,3.889104788,45.46348001,3.659992105,4.681073305,4.839069943,2.191076928,3.818881301,19.19433084,10.05058683,1.811602385,2.24743131,1.31198048,3.224238519,73.79439798,4.7323026,3.883477952,4.736534355,4.767749089,51.62733821,10.2147367,6.948909885,14.77384495,23.09148187,8.917435322,3.495763782,7.630584458,15.93856003,8.31317304,13.00123355,21.22467918,12.84395671,17.52110112,40.80315887,9.295799893,16.22651013,5.881913583,7.939295026,4.342478707,7.375535194,5.292553988,14.04664818,5.800042181,79.37848951
2.423901679,1.96635065,2.470797834,6.235109489,5.746222354,53.89921221,4.601551846,11.49621956,25.88456988,3.837301785,10.56567961,8.489537012,14.65304719,6.423830076,8.024941041,19.65638141,14.93566713,2.025579888,2.691934926,9.701720983,38.65682432,7.710095122,6.181287943,26.58043256,1.411765668,5.556679845,3.593638783,5.995195477,3.685834651,1.680774631,19.29207133,3.036489849,4.771304999,1.42365294,2.537113481,2.280720073,4.037485568,36.58924552,36.65056524,13.80582425,22.41198081,6.31325536,12.14966309,16.60708875,3.422876372,4.762248002,22.67137114,12.44102264,99.44175095,13.76034822,39.74543164,2222.261763,80.08187527,47.45914805,5.01034439,115.5219321,290.9558918,81.97797797,5.600653964,146.2387339,18.294051,14.37273391,128.4169973,25.30640249,7.387472463,168.34341,9.38542365,57.45929232,210.6488365,579.0328654,5.084540313,150.9090868,21.83034581,32.81659602,222.2028997,798.9170966,3.22442252,38.75569552,68.80585101,107.3907166,256.186955,87.44264553,22.34031594,8.663232449,8.239936951,9.643447152,8.964080111,6.582253219,7.269431985,5.607818764,24.35343516,23.14236266,23.38419575,51.03695073,5.631032336,51.27633974,13.85664553,2.751953461,9.13492375,21.27554809,15.39797048,10.38141361,51.45197144,39.49019331,12.6795109,8.050306125,17.42606434,18.94336001,31.52207947,104.2966123,15.36561467,7.540983231,37.05803784,17.43912892,17.76298012,15.79753646,24.75116297,15.00114534,4.157967234,21.29867468,25.85498102,41.06909112,12.43561225,16.62230191,25.86358428,4.806281277,11.79468279,27.52773392,12.68078347,45.66037825,709.7376243,7.135639847,4.048951929,2.669711684,15.06673045,4.155740743,6.626699589,68.37347471,10.80449316,4.410535556,13.07200206,32.8616629,9.813817239,10.65355683,10.65202748,11.92305637,5.811297946,8.684055099,15.26155899,19.28976358,1.640089556,3.295826854,14.01320455,66.71754967,3.773671717,3.449570171,44.1440041,3.457605532,5.158713665,4.322716003,2.545279034,3.718428341,18.95412334,9.336238481,1.690496751,2.145721364,1.519399825,3.076155074,69.4502048,4.575164236,4.251011911,5.172648429,4.74848182,50.71010337,9.173618525,7.226676253,14.65586263,36.12676376,8.730921341,3.65260374,6.948534909,15.57886117,9.735726146,12.09823805,21.81406779,12.90506052,17.68225513,36.15579321,8.678246046,14.14695237,5.37221129,8.270785858,3.773176836,7.562136447,7.026959224,14.0099536,4.884754683,74.23531422
2.088138533,1.73974011,2.193485968,6.410746328,6.352414755,52.48886432,4.566088532,11.53507016,25.25050507,3.466548575,9.844555566,11.70736355,14.55452977,6.095741005,7.322780276,20.12757424,16.01776904,2.124888943,2.937131955,9.463486323,37.15850618,7.816277393,8.4456638,24.76162557,1.303228963,6.258040728,3.896622334,5.827384089,3.212357931,1.645687181,18.98316627,2.868762409,5.753820572,1.330444494,2.578283651,2.273721973,3.815159104,35.57582559,35.55793649,14.2766792,22.07207927,6.288944298,11.69636392,15.87890636,2.904867847,4.593963817,24.1780541,11.82762594,91.18588402,13.64228428,39.10317971,2132.145911,80.9574021,43.59552304,5.634283388,105.4734281,277.3897343,71.45278832,5.038114125,138.413764,18.0519906,14.2991634,126.2845441,26.77364324,7.494481536,169.8283394,8.817295878,55.06396427,210.7726282,537.8765866,4.903204112,148.4560059,20.43743333,33.28527153,215.5280102,770.0464383,4.009261742,35.92407485,66.11328901,105.5787311,271.5896601,78.41416851,22.71402849,9.84322645,7.984239405,9.35798561,9.068092853,6.397570989,7.163880619,5.780585588,22.45063012,23.9171222,21.66848448,48.11657787,5.986201666,49.92244977,12.85450888,2.263759404,8.81787391,28.92341754,15.46004336,10.0468562,66.36788998,39.01857778,12.32784629,7.896264926,16.66788531,17.98656192,36.42900479,108.5331006,14.87744146,7.379645038,37.97576025,16.07665836,18.39560925,15.29059021,23.15580039,14.34990951,4.311463978,19.68087827,24.97557052,40.50524339,12.70421236,15.3161893,25.89019186,4.875320414,10.8952546,26.52539741,12.37607038,50.51590383,698.6095282,7.825009267,4.170227414,2.08855774,15.23705669,4.053675764,6.276449746,69.32694322,10.01967939,4.406114016,15.488947,38.09379153,10.6075339,10.88126473,10.91531553,11.97951452,4.881794292,7.355189428,15.22970323,19.5627753,1.671460042,2.796679053,13.90555333,69.62581234,3.699180062,3.403193922,42.28353233,3.808114833,4.752606953,4.607722567,2.314616498,3.82280254,17.80208321,9.551821819,1.81116673,2.041616061,1.270105698,2.771724243,68.74437663,4.831007071,3.567583218,4.727090464,4.959004427,49.8498959,8.769613193,6.606230937,13.89536675,25.6779416,8.404742567,3.530075153,7.316692919,15.35372997,11.3374718,11.61533699,20.4273208,12.16198044,16.2201566,35.45166519,8.130794662,15.68796572,4.345743351,7.304393754,4.277625302,6.764965055,6.775832685,14.38612021,4.774145141,74.89273894
1.971933516,1.715747366,2.820918362,5.405265989,5.699401494,51.15328793,4.506457179,10.96416933,26.31466731,3.787506102,10.03489961,10.33975995,14.31110426,5.733976036,6.526246,18.59485464,14.60048266,2.147382907,2.5104864,9.614185811,35.80491102,7.128017231,6.873412975,20.92874682,1.225361446,5.874658872,3.456229178,5.657698576,2.852401872,1.858457271,19.08844439,2.489198284,6.711035451,1.167367947,2.28229813,2.25924082,3.848678179,34.69194601,36.63191128,13.61720041,21.42874724,6.223511749,12.16468651,16.06648436,3.33803002,4.264322039,24.1860861,11.51508224,82.57513054,13.76446055,38.80627848,2092.036637,81.21973873,46.1104736,7.646714329,106.8147183,274.1683599,68.59383606,5.183213687,139.3909655,18.55340791,14.40255335,123.8034804,25.24008229,7.246893867,217.8811292,9.081506683,53.11392014,200.7767741,495.0458531,5.644032075,148.6926784,20.07591074,34.9727084,212.6418268,945.0587297,3.569251815,35.24134974,63.16043795,109.1169092,196.8971845,69.28614447,22.29525453,10.1780012,7.367169343,9.175818119,8.728443819,6.013821743,7.022103984,5.147799287,23.01875991,23.8074861,23.54903747,53.90648627,5.892420812,86.08714568,17.30758221,2.292272854,9.494743278,23.09487439,14.77174574,10.21320187,83.10616955,37.33612628,12.89270351,7.766123721,17.7096797,17.34861126,31.85539879,106.0511422,15.87337113,7.298560715,37.49441982,16.33405435,18.76864202,14.68927125,24.0152971,13.79229822,4.269691466,21.29471429,24.25103424,41.03648593,12.77989444,14.37623903,25.22837348,4.505154017,10.70260289,26.09314706,11.40412957,48.95953856,707.353962,7.167769827,4.615595754,2.306770676,14.51208592,3.825211021,6.442536735,65.5434664,10.40806226,4.024755581,14.09715365,33.52313868,8.684061828,10.99797989,10.01727862,11.45890188,4.478913859,14.93309172,15.08270068,17.72527225,1.352361256,2.782587666,12.3621724,65.10321951,3.691005761,4.066867197,41.29874824,4.136709701,4.882130011,4.218814023,2.049988918,3.828403398,18.00743566,8.607839892,1.608154315,2.104535786,1.145948709,3.055796782,70.89530376,4.431329971,3.451885645,5.059702911,4.70920216,51.01424517,9.236121129,6.61636057,13.75590998,24.79288221,8.269949162,3.445289169,8.444762633,14.81077783,9.597370329,11.80554256,21.97513311,11.86416599,16.13898984,40.20683069,10.42458465,14.59485815,4.584868505,8.103336219,4.443805133,6.495823355,6.254785312,14.13141088,5.143377292,74.35906519
2.068707287,2.049346899,2.656650241,5.277716954,5.580181971,50.74338896,4.216417309,10.80892737,24.71002523,3.665238151,10.02606,9.557678095,13.71008494,5.997643934,6.493335123,18.59381862,21.33943413,2.00054188,2.604982379,9.845860697,34.55820524,7.385176599,8.430462722,19.05353651,1.602337801,5.973213673,3.91163211,5.410801686,3.494601012,1.946849634,18.73699857,3.367483425,5.665096256,1.63236783,2.428666214,2.675526547,4.269674945,35.26301085,35.45288585,13.57586604,23.17860038,6.217171913,12.01662875,15.39572302,3.484415818,4.829891319,21.78262976,12.04925901,82.86490906,14.20309728,36.66005698,2040.721688,86.99351932,43.88004827,6.031901922,101.8113678,284.9485133,67.72450327,5.136311695,136.9019477,17.69802181,15.95686785,115.2162794,23.11491152,6.951567626,217.2448004,8.924070678,52.10487998,203.4115515,479.9641084,6.298971009,145.3073208,20.36647824,35.29550106,208.1357131,844.2520406,3.326688914,35.85748616,64.3193413,111.6242912,169.2608172,71.57413121,21.65018807,9.656560015,8.572436173,10.0098239,8.377343063,6.239373367,6.912525364,5.254360366,22.77138985,22.26495487,22.75169067,54.88562027,5.540734512,67.49112801,14.18607626,2.936764282,10.30457397,23.85655117,15.08990352,10.85638111,66.73306697,40.02512009,13.08794147,7.424500455,16.45962287,20.09124988,30.69072015,97.93450288,15.9533609,7.073746637,35.09480169,16.52037527,18.54717802,15.76539318,24.06424491,14.65311156,4.55965803,24.05761119,24.05441922,40.4124018,11.83683244,15.04103515,23.95653546,5.184795696,10.56052268,28.57341857,10.13672298,48.16583002,710.975145,6.766741938,4.439849349,2.250589303,13.29459226,3.966314686,6.424261661,78.08365355,8.825736366,4.119877967,13.98735581,33.4422775,9.676483421,13.47944492,9.99046421,12.38628372,4.754556652,10.96558,15.678449,16.60867112,1.775544565,2.823064807,12.36713037,63.52920341,3.843995466,5.058773463,41.06320669,3.849403335,4.928073919,3.957841093,2.337745485,3.789672954,19.43974081,9.001759915,1.642955662,2.35954554,1.44146551,2.866516412,62.506039,4.116416849,3.566965781,4.614361326,4.279192818,47.19869637,8.650058654,5.871237569,14.17532731,24.36161425,8.32006331,3.025888966,8.75091573,15.89508676,8.305181768,11.43639896,20.32831334,11.88737298,15.87485073,36.31457717,9.690157953,15.47897368,5.147989231,6.850000799,4.048661266,6.466347916,6.567789325,14.22703063,5.291644067,71.09920038
1.994296701,2.024736319,2.906202128,6.68936756,7.122316313,51.36091524,4.712846848,11.07844246,24.94195395,3.680503753,9.457225445,9.702889801,14.27491907,5.858395073,7.285800347,17.30835057,20.76358221,2.027856669,2.691838213,9.44716346,33.81699374,7.949128441,7.877084637,18.13791948,1.335542842,5.56624968,3.748505855,5.682625036,3.498914733,2.239244739,19.02542079,2.856525442,5.767027926,1.609528027,2.531434392,2.873910697,4.807688462,34.44788457,34.24885318,14.33191049,22.10558317,6.828390537,11.5108005,15.14753324,3.487819295,5.147103202,22.50225253,12.34903273,87.53881693,13.96196819,36.01686187,1983.340349,82.11260344,41.38688357,6.442265137,99.17758814,286.7149238,66.80197262,5.214416608,128.8418604,16.82396526,16.43278586,118.3764022,23.54272909,7.220190428,191.6502964,8.237687739,51.01658566,200.2330391,464.9023404,6.028539665,139.486473,20.06063317,37.07811022,206.6060797,788.50967,4.398893547,35.53026799,64.81422673,101.1054038,160.5578281,69.01352391,22.50512776,10.2343966,7.929188092,9.525657865,8.161169706,6.046636643,7.236273526,6.059148682,23.08761444,23.31368427,22.16667662,50.20035506,5.769960171,63.30202687,13.45703278,2.59642329,9.979585783,23.33215372,15.12884097,10.6494376,62.23618038,39.78697187,12.28000659,7.98556479,16.68881871,19.13566229,29.69556437,101.9024056,15.22650181,7.244279101,36.7299637,16.75706986,18.19766043,15.58716029,23.54128543,14.72364978,4.449276792,23.44352203,24.99629902,38.66088452,12.18436502,14.16260708,23.76586885,5.388953263,10.6005307,26.98399891,10.06782383,46.82854565,685.2729284,7.062091144,4.699815371,2.113643608,14.22409743,3.905657981,7.068719142,84.64902234,9.906616411,4.489805335,13.70836141,32.10821303,9.716839401,12.76114216,9.897461767,13.45629678,4.56967,9.847462808,15.62926068,16.74524603,2.220899888,3.329124965,13.46288443,62.82243736,3.763759278,4.187595902,41.27766828,4.346622749,5.902852546,4.101037441,1.976189431,4.069911916,20.77138027,8.66433964,1.903432229,2.225329261,2.058728632,3.573617673,66.50673296,4.059724673,4.067073367,4.552971067,5.679174115,47.80227467,9.46907262,6.116684011,14.45066944,24.86083137,7.900905926,3.121444885,7.573152771,13.99568662,8.359197272,11.49381685,19.48552833,15.01324694,16.28177727,34.61600187,8.786651203,14.85331603,4.767727985,6.633026467,3.728809469,6.582842883,6.517157413,12.91427664,4.888658967,76.10862226
